,mag,longitude,latitude,time
0,4,142,38,2011-07-01
1,4,24,34,2011-07-01
2,4,143,37,2011-07-01
3,4,175,-13,2011-07-01
4,5,121,0,2011-07-01
5,2,-146,67,2011-07-01
6,4,141,37,2011-07-01
7,4,114,-12,2011-07-01
8,3,-170,52,2011-07-01
9,4,157,-8,2011-07-01
10,4,59,32,2011-07-01
11,4,166,-45,2011-07-01
12,4,-72,-34,2011-07-01
13,2,174,-36,2011-07-01
14,2,-97,35,2011-07-01
15,3,-151,63,2011-07-01
16,4,140,35,2011-07-01
17,2,-168,52,2011-07-01
18,3,-171,50,2011-07-01
19,3,-171,51,2011-07-01
20,4,141,12,2011-07-01
21,5,146,13,2011-07-01
22,2,-161,54,2011-07-01
23,4,108,-8,2011-07-01
24,3,-171,51,2011-07-01
25,4,13,-52,2011-07-01
26,4,-3,-53,2011-07-01
27,3,-162,53,2011-07-01
28,5,147,-6,2011-07-01
29,4,147,-6,2011-07-01
30,4,165,-10,2011-07-01
31,3,-156,19,2011-07-01
32,4,149,-6,2011-07-01
33,4,147,-6,2011-07-01
34,3,-171,51,2011-07-01
35,4,147,-6,2011-07-01
36,2,-66,17,2011-07-01
37,2,-115,39,2011-07-01
38,4,-178,-29,2011-07-01
39,4,-27,-56,2011-07-01
40,4,28,-9,2011-07-01
41,4,147,-6,2011-07-01
42,2,-168,51,2011-07-01
43,3,-153,60,2011-07-01
44,4,126,7,2011-07-01
45,4,51,28,2011-07-01
46,4,142,36,2011-07-01
47,4,-75,-14,2011-07-02
48,4,141,37,2011-07-02
49,2,-151,63,2011-07-02
50,4,-72,-33,2011-07-02
51,4,-66,-19,2011-07-02
52,2,-152,61,2011-07-02
53,3,-156,57,2011-07-02
54,3,-136,59,2011-07-02
55,4,126,6,2011-07-02
56,4,150,-7,2011-07-02
57,3,-153,59,2011-07-02
58,4,121,21,2011-07-02
59,4,141,35,2011-07-02
60,3,-64,19,2011-07-02
61,2,-143,66,2011-07-02
62,4,-150,63,2011-07-02
63,2,-121,36,2011-07-02
64,4,141,35,2011-07-02
65,4,138,-4,2011-07-02
66,5,-173,-15,2011-07-02
67,4,147,-6,2011-07-02
68,4,146,-6,2011-07-02
69,4,94,5,2011-07-02
70,4,140,35,2011-07-02
71,2,-118,38,2011-07-02
72,4,129,-2,2011-07-02
73,4,165,-10,2011-07-02
74,4,129,-3,2011-07-02
75,4,127,2,2011-07-02
76,4,26,36,2011-07-02
77,4,-134,66,2011-07-02
78,2,-165,53,2011-07-02
79,3,-115,32,2011-07-02
80,4,-87,13,2011-07-02
81,4,165,-10,2011-07-02
82,4,143,27,2011-07-02
83,2,-115,32,2011-07-03
84,3,-176,51,2011-07-03
85,2,-153,60,2011-07-03
86,4,142,38,2011-07-03
87,4,81,35,2011-07-03
88,5,-87,12,2011-07-03
89,3,-171,52,2011-07-03
90,4,147,-7,2011-07-03
91,4,142,39,2011-07-03
92,4,22,36,2011-07-03
93,4,106,-6,2011-07-03
94,2,-171,52,2011-07-03
95,2,-118,38,2011-07-03
96,2,-159,54,2011-07-03
97,3,-169,52,2011-07-03
98,4,121,24,2011-07-03
99,2,-152,60,2011-07-03
100,5,130,-5,2011-07-03
101,2,-121,36,2011-07-03
102,4,144,26,2011-07-03
103,2,-151,61,2011-07-03
104,3,-171,51,2011-07-03
105,4,20,37,2011-07-03
106,4,155,-9,2011-07-03
107,3,-115,32,2011-07-03
108,5,149,45,2011-07-03
109,4,176,-40,2011-07-03
110,4,142,36,2011-07-03
111,4,130,28,2011-07-03
112,4,-179,-24,2011-07-03
113,3,-159,52,2011-07-03
114,3,-121,36,2011-07-03
115,2,-67,18,2011-07-03
116,4,-94,17,2011-07-03
117,4,126,0,2011-07-03
118,4,142,37,2011-07-03
119,4,143,39,2011-07-03
120,4,132,0,2011-07-03
121,4,132,0,2011-07-03
122,2,-115,32,2011-07-03
123,4,-175,-23,2011-07-03
124,4,-176,-21,2011-07-03
125,4,-71,-36,2011-07-04
126,4,135,33,2011-07-04
127,3,-171,51,2011-07-04
128,2,-171,52,2011-07-04
129,4,-94,17,2011-07-04
130,3,-171,52,2011-07-04
131,2,-118,39,2011-07-04
132,2,-166,53,2011-07-04
133,3,-166,53,2011-07-04
134,4,-152,60,2011-07-04
135,4,143,39,2011-07-04
136,3,-168,52,2011-07-04
137,2,-165,53,2011-07-04
138,2,-164,54,2011-07-04
139,2,-114,47,2011-07-04
140,4,146,-5,2011-07-04
141,2,-171,52,2011-07-04
142,2,-153,58,2011-07-04
143,4,124,0,2011-07-04
144,2,-171,51,2011-07-04
145,4,-177,-23,2011-07-04
146,5,177,-40,2011-07-04
147,3,-171,51,2011-07-04
148,4,141,37,2011-07-04
149,4,176,-40,2011-07-04
150,4,142,40,2011-07-04
151,4,-67,-31,2011-07-04
152,3,-166,53,2011-07-04
153,4,140,36,2011-07-04
154,4,128,-7,2011-07-04
155,4,-170,51,2011-07-04
156,2,-118,38,2011-07-04
157,2,-169,51,2011-07-04
158,2,-118,38,2011-07-04
159,2,-118,38,2011-07-04
160,2,-170,51,2011-07-04
161,4,145,-5,2011-07-04
162,4,167,-14,2011-07-04
163,2,-149,61,2011-07-04
164,4,142,40,2011-07-04
165,2,-176,51,2011-07-04
166,4,131,28,2011-07-04
167,2,-161,53,2011-07-04
168,4,-94,14,2011-07-04
169,4,125,24,2011-07-04
170,2,-162,53,2011-07-04
171,4,150,-6,2011-07-04
172,5,97,1,2011-07-04
173,4,179,-35,2011-07-04
174,4,147,16,2011-07-04
175,5,-157,55,2011-07-04
176,5,-175,-23,2011-07-04
177,4,142,35,2011-07-04
178,3,-117,33,2011-07-04
179,3,-171,51,2011-07-05
180,4,144,37,2011-07-05
181,3,-171,51,2011-07-05
182,4,145,-38,2011-07-05
183,4,66,28,2011-07-05
184,2,-171,51,2011-07-05
185,4,-71,-32,2011-07-05
186,3,-118,38,2011-07-05
187,2,-179,50,2011-07-05
188,3,145,-38,2011-07-05
189,2,-118,38,2011-07-05
190,3,-111,39,2011-07-05
191,2,-141,59,2011-07-05
192,5,175,-38,2011-07-05
193,4,69,-23,2011-07-05
194,2,-171,50,2011-07-05
195,4,144,38,2011-07-05
196,2,-164,53,2011-07-05
197,4,140,36,2011-07-05
198,4,22,-52,2011-07-05
199,3,145,-38,2011-07-05
200,4,-92,14,2011-07-05
201,2,-150,60,2011-07-05
202,4,22,-52,2011-07-05
203,3,-167,52,2011-07-05
204,2,-167,52,2011-07-05
205,5,135,33,2011-07-05
206,5,-68,-19,2011-07-05
207,4,135,33,2011-07-05
208,4,143,37,2011-07-05
209,4,70,36,2011-07-05
210,4,-151,62,2011-07-05
211,2,-177,51,2011-07-05
212,4,75,-2,2011-07-05
213,3,-112,37,2011-07-05
214,4,-178,-31,2011-07-05
215,4,-179,-31,2011-07-05
