,mag,longitude,latitude,time
0,3,-67,19,2007-07-01
1,3,-67,19,2007-07-01
2,3,20,39,2007-07-01
3,2,-72,-32,2007-07-01
4,3,20,39,2007-07-01
5,3,140,41,2007-07-01
6,5,-17,-35,2007-07-01
7,4,-179,-21,2007-07-01
8,5,144,43,2007-07-01
9,3,-61,15,2007-07-01
10,3,20,39,2007-07-01
11,3,20,39,2007-07-01
12,2,-162,55,2007-07-01
13,3,20,39,2007-07-01
14,4,-177,-19,2007-07-01
15,3,175,-38,2007-07-01
16,4,126,6,2007-07-01
17,3,20,39,2007-07-01
18,5,146,13,2007-07-01
19,4,-127,43,2007-07-01
20,5,-179,-22,2007-07-01
21,2,-71,-34,2007-07-01
22,2,-71,-30,2007-07-01
23,4,160,-9,2007-07-01
24,2,-125,40,2007-07-01
25,3,-70,-32,2007-07-01
26,2,-70,-34,2007-07-01
27,3,20,39,2007-07-01
28,4,132,-6,2007-07-01
29,3,-65,18,2007-07-01
30,4,128,-22,2007-07-01
31,4,142,46,2007-07-01
32,5,130,-5,2007-07-01
33,3,145,15,2007-07-01
34,3,128,25,2007-07-01
35,3,-70,-30,2007-07-01
36,4,145,13,2007-07-01
37,4,126,1,2007-07-01
38,4,-77,5,2007-07-01
39,3,167,-15,2007-07-01
40,3,-70,-31,2007-07-01
41,4,126,24,2007-07-01
42,4,-67,-24,2007-07-01
43,4,-12,36,2007-07-01
44,3,20,39,2007-07-01
45,3,-65,19,2007-07-01
46,2,-115,31,2007-07-01
47,3,20,39,2007-07-01
48,2,20,39,2007-07-01
49,3,145,-4,2007-07-01
50,3,20,39,2007-07-01
51,2,20,39,2007-07-01
52,3,121,21,2007-07-01
53,3,20,39,2007-07-01
54,4,-179,51,2007-07-01
55,4,-179,50,2007-07-01
56,4,119,20,2007-07-01
57,3,22,36,2007-07-01
58,4,120,17,2007-07-01
59,3,176,-37,2007-07-01
60,2,-121,47,2007-07-01
61,3,-117,35,2007-07-01
62,3,20,39,2007-07-01
63,5,-28,-55,2007-07-01
64,4,124,-9,2007-07-01
65,4,-28,-55,2007-07-01
66,4,145,13,2007-07-02
67,4,-28,-55,2007-07-02
68,4,-28,-55,2007-07-02
69,3,-27,-55,2007-07-02
70,3,-95,15,2007-07-02
71,3,167,-45,2007-07-02
72,5,-176,-17,2007-07-02
73,3,20,39,2007-07-02
74,3,20,39,2007-07-02
75,4,126,24,2007-07-02
76,2,-155,56,2007-07-02
77,4,128,26,2007-07-02
78,3,20,39,2007-07-02
79,3,20,39,2007-07-02
80,2,-117,32,2007-07-02
81,4,94,5,2007-07-02
82,3,-71,-29,2007-07-02
83,4,155,-6,2007-07-02
84,4,145,18,2007-07-02
85,5,152,-5,2007-07-02
86,3,-68,-23,2007-07-02
87,4,152,-5,2007-07-02
88,3,26,35,2007-07-02
89,3,-178,-27,2007-07-02
90,2,-111,41,2007-07-02
91,3,138,30,2007-07-02
92,4,144,43,2007-07-02
93,4,-176,-27,2007-07-02
94,4,81,45,2007-07-02
95,3,-64,19,2007-07-02
96,2,-115,31,2007-07-02
97,5,122,0,2007-07-02
98,3,20,39,2007-07-02
99,3,20,39,2007-07-02
100,3,20,39,2007-07-02
101,3,-72,-31,2007-07-02
102,2,-67,18,2007-07-02
103,3,-94,16,2007-07-02
104,3,-64,18,2007-07-02
105,4,179,52,2007-07-02
106,4,129,-5,2007-07-02
107,3,22,35,2007-07-02
108,3,-68,-31,2007-07-02
109,3,-175,-15,2007-07-02
110,4,-28,-55,2007-07-02
111,3,20,39,2007-07-02
112,4,128,-6,2007-07-02
113,4,155,50,2007-07-02
114,4,-89,13,2007-07-02
115,3,178,-38,2007-07-02
116,2,-124,40,2007-07-02
117,3,20,39,2007-07-02
118,4,-66,-24,2007-07-02
119,4,-121,36,2007-07-02
120,4,-176,-27,2007-07-02
121,4,156,47,2007-07-02
122,3,20,39,2007-07-02
123,2,-149,63,2007-07-02
124,3,20,39,2007-07-02
125,4,68,42,2007-07-02
126,3,20,39,2007-07-02
127,2,-115,32,2007-07-02
128,2,20,39,2007-07-02
129,2,20,39,2007-07-02
130,3,-64,19,2007-07-03
131,3,21,38,2007-07-03
132,3,20,39,2007-07-03
133,3,20,39,2007-07-03
134,4,-164,54,2007-07-03
135,2,20,39,2007-07-03
136,4,126,3,2007-07-03
137,2,-70,-34,2007-07-03
138,2,-117,37,2007-07-03
139,3,23,35,2007-07-03
140,4,126,3,2007-07-03
141,4,-98,15,2007-07-03
142,2,-66,18,2007-07-03
143,4,179,-25,2007-07-03
144,3,20,39,2007-07-03
145,4,143,-3,2007-07-03
146,3,-70,-33,2007-07-03
147,4,126,13,2007-07-03
148,3,-14,43,2007-07-03
149,2,-61,10,2007-07-03
150,3,6,49,2007-07-03
151,4,-28,-55,2007-07-03
152,4,-28,-55,2007-07-03
153,3,-164,53,2007-07-03
154,3,20,39,2007-07-03
155,3,-63,18,2007-07-03
156,4,-99,16,2007-07-03
157,3,25,40,2007-07-03
158,3,-167,52,2007-07-03
159,4,121,17,2007-07-03
160,4,151,-3,2007-07-03
161,3,23,40,2007-07-03
162,6,-30,0,2007-07-03
163,4,-179,-35,2007-07-03
164,3,20,39,2007-07-03
165,2,-121,36,2007-07-03
166,4,152,46,2007-07-03
167,3,-62,10,2007-07-03
168,2,-119,42,2007-07-03
169,3,22,38,2007-07-03
170,3,20,39,2007-07-03
171,4,179,-23,2007-07-03
172,3,20,39,2007-07-03
173,3,-155,56,2007-07-03
174,2,-119,42,2007-07-03
175,4,-83,-41,2007-07-03
176,4,-178,-34,2007-07-03
177,4,-16,30,2007-07-03
178,4,126,5,2007-07-03
179,3,20,39,2007-07-03
180,3,-64,18,2007-07-03
181,3,20,39,2007-07-03
182,4,159,53,2007-07-03
183,2,-113,47,2007-07-03
184,4,120,-7,2007-07-03
185,4,140,35,2007-07-03
186,4,91,10,2007-07-03
187,2,-67,18,2007-07-03
188,5,165,-10,2007-07-03
189,3,16,51,2007-07-03
190,4,-28,-55,2007-07-03
191,2,16,51,2007-07-03
192,2,15,51,2007-07-03
193,2,-122,37,2007-07-03
194,4,20,39,2007-07-03
195,2,-65,18,2007-07-03
196,4,130,-3,2007-07-03
197,4,137,-1,2007-07-03
198,3,20,39,2007-07-03
199,3,20,39,2007-07-03
200,3,20,39,2007-07-03
201,3,20,39,2007-07-03
202,3,20,39,2007-07-03
203,3,20,38,2007-07-03
204,4,-176,-26,2007-07-03
205,4,126,0,2007-07-03
206,4,176,-38,2007-07-03
207,4,167,-14,2007-07-03
208,5,-176,-26,2007-07-03
209,3,20,39,2007-07-03
210,2,-121,41,2007-07-03
211,4,-28,-55,2007-07-03
212,4,169,-20,2007-07-03
