,mag,longitude,latitude,time
0,3,178,50,2012-07-01
1,3,-168,52,2012-07-01
2,4,-68,-22,2012-07-01
3,4,128,-7,2012-07-01
4,4,145,14,2012-07-01
5,5,51,31,2012-07-01
6,4,-115,32,2012-07-01
7,3,-64,19,2012-07-01
8,3,-115,32,2012-07-01
9,5,94,25,2012-07-01
10,4,128,-7,2012-07-01
11,3,-116,38,2012-07-01
12,4,94,25,2012-07-01
13,3,-115,32,2012-07-01
14,4,-66,-22,2012-07-01
15,2,-115,32,2012-07-01
16,4,-115,32,2012-07-01
17,2,-115,32,2012-07-01
18,3,-115,32,2012-07-01
19,4,125,5,2012-07-01
20,4,-115,32,2012-07-01
21,2,-115,32,2012-07-01
22,2,-115,32,2012-07-01
23,3,-123,39,2012-07-01
24,2,-115,32,2012-07-01
25,2,-115,32,2012-07-01
26,2,-115,32,2012-07-01
27,4,97,1,2012-07-01
28,2,-115,32,2012-07-01
29,3,-133,58,2012-07-01
30,4,-173,-15,2012-07-01
31,2,-115,32,2012-07-01
32,4,-177,-30,2012-07-01
33,3,-167,67,2012-07-01
34,4,41,13,2012-07-01
35,4,177,-35,2012-07-01
36,4,-71,-20,2012-07-01
37,3,-149,60,2012-07-01
38,2,176,51,2012-07-01
39,2,179,51,2012-07-01
40,4,84,43,2012-07-01
41,5,59,34,2012-07-01
42,2,-115,32,2012-07-01
43,4,103,31,2012-07-01
44,2,-119,33,2012-07-01
45,4,-178,-17,2012-07-01
46,4,143,10,2012-07-01
47,4,168,-21,2012-07-01
48,5,-70,-28,2012-07-01
49,4,-179,-33,2012-07-01
50,2,-115,32,2012-07-02
51,2,-64,19,2012-07-02
52,3,-133,58,2012-07-02
53,4,87,29,2012-07-02
54,4,142,40,2012-07-02
55,2,-118,37,2012-07-02
56,2,-97,35,2012-07-02
57,3,-118,37,2012-07-02
58,4,-174,-16,2012-07-02
59,3,-167,67,2012-07-02
60,4,164,56,2012-07-02
61,2,-65,18,2012-07-02
62,2,-122,37,2012-07-02
63,2,-118,37,2012-07-02
64,2,-115,32,2012-07-02
65,4,-165,53,2012-07-02
66,4,141,37,2012-07-02
67,2,-115,31,2012-07-02
68,4,172,-22,2012-07-02
69,3,-67,18,2012-07-02
70,2,-115,32,2012-07-02
71,4,68,35,2012-07-02
72,2,-133,58,2012-07-02
73,4,126,1,2012-07-02
74,2,-133,58,2012-07-02
75,3,-150,60,2012-07-02
76,2,-125,41,2012-07-02
77,4,-98,16,2012-07-02
78,3,-150,63,2012-07-02
79,4,-173,-15,2012-07-02
80,4,-90,14,2012-07-02
81,3,-174,51,2012-07-02
82,5,-179,-33,2012-07-02
83,4,-173,-17,2012-07-02
84,4,-173,51,2012-07-02
85,3,-178,51,2012-07-02
86,2,-115,32,2012-07-02
87,4,-25,-59,2012-07-02
88,4,-98,16,2012-07-02
89,4,102,-6,2012-07-02
90,4,-100,-36,2012-07-02
91,4,153,-6,2012-07-02
92,4,-178,-31,2012-07-02
93,4,-174,-18,2012-07-02
94,3,-64,18,2012-07-02
95,3,-165,64,2012-07-02
96,4,-173,52,2012-07-02
97,5,-75,-14,2012-07-02
98,4,20,37,2012-07-02
99,4,-67,-22,2012-07-02
100,4,179,51,2012-07-03
101,4,141,37,2012-07-03
102,2,-120,40,2012-07-03
103,4,41,-17,2012-07-03
104,4,-96,16,2012-07-03
105,4,144,13,2012-07-03
106,4,92,3,2012-07-03
107,5,139,34,2012-07-03
108,2,-66,18,2012-07-03
109,4,145,-4,2012-07-03
110,5,163,-10,2012-07-03
111,4,154,-6,2012-07-03
112,4,142,38,2012-07-03
113,4,14,33,2012-07-03
114,4,125,25,2012-07-03
115,4,-70,-28,2012-07-03
116,4,169,54,2012-07-03
117,4,122,24,2012-07-03
118,2,-151,63,2012-07-03
119,4,-176,-27,2012-07-03
120,2,-174,51,2012-07-03
121,2,-133,58,2012-07-03
122,4,95,2,2012-07-03
123,6,173,-40,2012-07-03
124,4,173,-40,2012-07-03
125,4,-178,-19,2012-07-03
126,4,125,9,2012-07-03
127,2,-133,58,2012-07-03
128,4,74,39,2012-07-03
129,5,-76,-4,2012-07-03
130,2,-168,68,2012-07-03
131,4,93,1,2012-07-03
132,4,-104,18,2012-07-03
133,3,-97,35,2012-07-03
134,2,-163,54,2012-07-03
135,2,-175,52,2012-07-03
136,4,88,29,2012-07-03
137,4,-178,-17,2012-07-03
138,4,-179,-18,2012-07-03
139,4,128,1,2012-07-03
140,2,-115,32,2012-07-03
141,3,-65,19,2012-07-03
142,4,125,10,2012-07-03
143,4,92,2,2012-07-03
144,2,-126,43,2012-07-03
145,2,-89,36,2012-07-03
146,4,149,-59,2012-07-04
147,4,-177,-29,2012-07-04
148,4,102,-4,2012-07-04
149,3,176,51,2012-07-04
150,2,-156,57,2012-07-04
151,2,-82,33,2012-07-04
152,2,-122,37,2012-07-04
153,2,-122,37,2012-07-04
154,4,146,43,2012-07-04
155,4,166,-12,2012-07-04
156,4,152,-4,2012-07-04
157,4,-176,-24,2012-07-04
158,3,-123,48,2012-07-04
159,2,-150,65,2012-07-04
160,4,-179,-32,2012-07-04
161,2,-122,37,2012-07-04
162,4,100,-2,2012-07-04
163,4,139,34,2012-07-04
164,4,142,37,2012-07-04
165,2,-104,37,2012-07-04
166,4,-73,-38,2012-07-04
167,4,168,54,2012-07-04
168,4,27,39,2012-07-04
169,3,-116,33,2012-07-04
170,2,-155,19,2012-07-04
171,2,-155,19,2012-07-04
172,2,-124,40,2012-07-04
173,4,147,-5,2012-07-04
174,4,-35,54,2012-07-04
175,4,124,11,2012-07-04
176,4,16,37,2012-07-04
177,2,-152,57,2012-07-04
178,4,122,10,2012-07-04
179,4,126,11,2012-07-04
180,4,113,-8,2012-07-04
181,4,15,38,2012-07-04
182,4,141,41,2012-07-04
183,4,-129,50,2012-07-04
184,4,-101,17,2012-07-04
185,4,-98,16,2012-07-04
186,2,-164,53,2012-07-04
187,5,-178,-30,2012-07-04
188,2,-111,44,2012-07-04
189,4,-68,-28,2012-07-04
190,4,154,47,2012-07-04
191,4,102,-6,2012-07-04
192,4,122,24,2012-07-04
193,4,121,21,2012-07-04
194,5,-62,18,2012-07-04
195,4,155,-7,2012-07-04
196,4,-179,50,2012-07-04
197,2,-179,51,2012-07-04
198,2,-177,51,2012-07-04
199,4,-74,-37,2012-07-04
200,3,-161,52,2012-07-04
201,4,-66,-23,2012-07-04
202,4,105,-6,2012-07-04
203,4,26,35,2012-07-04
204,4,141,32,2012-07-05
205,4,-177,-30,2012-07-05
206,2,-121,36,2012-07-05
207,4,53,-36,2012-07-05
208,4,-27,-55,2012-07-05
209,2,-179,51,2012-07-05
210,4,121,18,2012-07-05
211,4,155,49,2012-07-05
212,4,152,-3,2012-07-05
213,2,-122,37,2012-07-05
214,2,-67,18,2012-07-05
215,4,152,-3,2012-07-05
216,3,-66,19,2012-07-05
217,2,-167,51,2012-07-05
218,4,-72,-34,2012-07-05
219,4,-98,16,2012-07-05
220,4,-91,14,2012-07-05
221,5,126,5,2012-07-05
222,3,-65,19,2012-07-05
223,5,141,32,2012-07-05
224,4,141,41,2012-07-05
225,3,-150,59,2012-07-05
226,2,-123,48,2012-07-05
227,2,-152,56,2012-07-05
228,2,-66,17,2012-07-05
229,4,142,42,2012-07-05
230,4,-94,16,2012-07-05
231,4,74,-28,2012-07-05
232,4,140,37,2012-07-05
233,4,126,10,2012-07-05
234,3,-116,34,2012-07-05
235,2,-116,34,2012-07-05
236,4,116,-10,2012-07-05
237,2,-67,18,2012-07-05
238,4,-96,15,2012-07-05
