,mag,longitude,latitude,time
0,3,-64,19,2008-01-01
1,4,35,37,2008-01-01
2,3,124,6,2008-01-01
3,2,-150,63,2008-01-01
4,4,139,27,2008-01-01
5,4,155,50,2008-01-01
6,4,139,-1,2008-01-01
7,3,25,38,2008-01-01
8,4,-177,-18,2008-01-01
9,4,101,-3,2008-01-01
10,3,-69,-19,2008-01-01
11,4,169,-19,2008-01-01
12,3,-15,34,2008-01-01
13,4,126,4,2008-01-01
14,3,142,44,2008-01-01
15,2,-167,53,2008-01-01
16,5,72,40,2008-01-01
17,4,103,-6,2008-01-01
18,4,-98,15,2008-01-01
19,4,-91,13,2008-01-01
20,3,-168,52,2008-01-01
21,3,-150,60,2008-01-01
22,2,-97,37,2008-01-01
23,4,-179,-22,2008-01-01
24,3,21,37,2008-01-01
25,4,-172,-15,2008-01-01
26,3,130,-6,2008-01-01
27,5,-103,-35,2008-01-01
28,3,-97,16,2008-01-01
29,4,65,-18,2008-01-01
30,4,103,-6,2008-01-01
31,2,-88,37,2008-01-01
32,4,142,39,2008-01-01
33,4,70,36,2008-01-01
34,4,156,52,2008-01-01
35,4,146,18,2008-01-01
36,3,-7,36,2008-01-01
37,2,-65,18,2008-01-01
38,4,-179,-24,2008-01-01
39,4,-177,-20,2008-01-01
40,4,-8,36,2008-01-01
41,4,153,46,2008-01-01
42,3,-100,17,2008-01-01
43,3,-68,18,2008-01-01
44,3,-100,16,2008-01-01
45,4,143,42,2008-01-01
46,2,-152,59,2008-01-01
47,4,125,7,2008-01-01
48,4,95,4,2008-01-01
49,3,95,6,2008-01-01
50,4,166,-11,2008-01-01
51,3,-174,50,2008-01-01
52,3,-71,-32,2008-01-01
53,3,-68,17,2008-01-01
54,3,-178,-17,2008-01-01
55,4,117,-8,2008-01-01
56,6,146,-5,2008-01-01
57,4,93,14,2008-01-01
58,5,146,-5,2008-01-01
59,2,-152,59,2008-01-01
60,4,-179,-33,2008-01-01
61,3,-170,53,2008-01-01
62,3,-143,62,2008-01-01
63,3,146,-5,2008-01-01
64,3,-100,16,2008-01-01
65,3,25,39,2008-01-01
66,3,-178,-17,2008-01-01
67,4,71,37,2008-01-01
68,3,-69,-21,2008-01-01
69,3,72,40,2008-01-01
70,4,104,-7,2008-01-01
71,4,-71,-34,2008-01-01
72,3,72,40,2008-01-02
73,3,-75,-13,2008-01-02
74,4,-58,-61,2008-01-02
75,3,-76,6,2008-01-02
76,4,-179,51,2008-01-02
77,3,136,36,2008-01-02
78,4,107,-8,2008-01-02
79,3,-176,-15,2008-01-02
80,4,-173,-15,2008-01-02
81,2,-62,10,2008-01-02
82,3,-27,-55,2008-01-02
83,2,-71,-32,2008-01-02
84,3,-71,-32,2008-01-02
85,2,-120,35,2008-01-02
86,4,100,-3,2008-01-02
87,3,26,36,2008-01-02
88,4,122,20,2008-01-02
89,4,-70,-20,2008-01-02
90,3,20,40,2008-01-02
91,4,114,74,2008-01-02
92,2,-155,19,2008-01-02
93,3,-64,19,2008-01-02
94,2,-152,60,2008-01-02
95,4,121,-8,2008-01-02
96,2,-65,17,2008-01-02
97,4,124,2,2008-01-02
98,3,22,39,2008-01-02
99,5,-70,-23,2008-01-02
100,2,-7,38,2008-01-02
101,2,12,42,2008-01-02
102,3,-166,52,2008-01-02
103,3,-66,19,2008-01-02
104,3,142,37,2008-01-02
105,3,-100,16,2008-01-02
106,5,-114,-23,2008-01-02
107,4,147,-6,2008-01-02
108,3,140,27,2008-01-02
109,4,-100,16,2008-01-02
110,4,178,-36,2008-01-02
111,2,-65,17,2008-01-02
112,4,71,36,2008-01-02
113,2,-137,58,2008-01-02
114,5,-94,-36,2008-01-02
115,3,-66,19,2008-01-02
116,3,-65,19,2008-01-02
117,4,129,-8,2008-01-02
