,mag,longitude,latitude,time
0,4,-85,10,2007-01-01
1,4,179,-25,2007-01-01
2,5,67,1,2007-01-01
3,5,133,-5,2007-01-01
4,5,-39,32,2007-01-01
5,4,166,-11,2007-01-01
6,4,128,-7,2007-01-01
7,2,-4,35,2007-01-01
8,2,-71,-30,2007-01-01
9,5,-174,-18,2007-01-01
10,3,135,-4,2007-01-01
11,4,-178,-23,2007-01-01
12,3,-71,-30,2007-01-01
13,4,152,46,2007-01-01
14,3,24,38,2007-01-01
15,3,21,38,2007-01-01
16,4,-179,-36,2007-01-01
17,4,146,13,2007-01-01
18,4,51,13,2007-01-01
19,4,-174,-21,2007-01-01
20,4,-179,-24,2007-01-01
21,4,127,1,2007-01-01
22,4,-100,16,2007-01-01
23,4,-71,-28,2007-01-01
24,4,146,13,2007-01-01
25,4,152,47,2007-01-01
26,2,-152,60,2007-01-01
27,4,155,46,2007-01-01
28,3,-67,18,2007-01-01
29,4,107,-7,2007-01-01
30,3,69,37,2007-01-01
31,2,22,38,2007-01-01
32,4,-174,-17,2007-01-01
33,2,138,-31,2007-01-01
34,4,-90,13,2007-01-01
35,3,-71,-27,2007-01-01
36,2,-120,45,2007-01-01
37,3,21,38,2007-01-01
38,4,14,46,2007-01-01
39,4,153,46,2007-01-01
40,3,24,34,2007-01-01
41,2,-147,60,2007-01-01
42,2,-140,61,2007-01-01
43,4,119,-7,2007-01-01
44,4,-66,-23,2007-01-01
45,2,-70,-33,2007-01-01
46,4,-100,17,2007-01-01
47,3,-71,-31,2007-01-01
48,4,-71,-29,2007-01-01
49,4,-92,14,2007-01-01
50,2,1,36,2007-01-01
51,4,-94,17,2007-01-01
52,3,-64,18,2007-01-01
53,3,-77,4,2007-01-01
54,3,51,28,2007-01-02
55,3,22,37,2007-01-02
56,3,-120,35,2007-01-02
57,4,-76,-5,2007-01-02
58,4,156,-6,2007-01-02
59,4,-101,16,2007-01-02
60,4,143,11,2007-01-02
61,5,140,27,2007-01-02
62,3,-169,52,2007-01-02
63,4,175,-38,2007-01-02
64,3,-169,52,2007-01-02
65,4,-41,30,2007-01-02
66,4,69,36,2007-01-02
67,3,-68,17,2007-01-02
68,3,-64,18,2007-01-02
69,3,-71,-34,2007-01-02
70,2,27,37,2007-01-02
71,2,38,37,2007-01-02
72,4,145,16,2007-01-02
73,4,-99,16,2007-01-02
74,3,37,38,2007-01-02
75,4,179,-25,2007-01-02
76,2,-69,-31,2007-01-02
77,3,32,39,2007-01-02
78,4,-173,-15,2007-01-02
79,3,-5,37,2007-01-02
80,2,-5,37,2007-01-02
81,2,-150,63,2007-01-02
82,2,-115,32,2007-01-02
83,3,129,28,2007-01-02
84,5,155,47,2007-01-02
85,2,-5,37,2007-01-02
86,4,142,42,2007-01-02
87,2,-124,40,2007-01-02
88,4,155,47,2007-01-02
89,3,-5,37,2007-01-02
90,4,-71,-27,2007-01-02
91,4,-89,13,2007-01-02
92,5,-174,-17,2007-01-02
93,4,165,-12,2007-01-02
94,5,-79,-11,2007-01-02
95,3,-72,-34,2007-01-02
96,2,-66,19,2007-01-02
97,2,-152,60,2007-01-02
98,3,-70,-32,2007-01-02
99,3,25,34,2007-01-02
100,4,-100,17,2007-01-02
101,2,-5,37,2007-01-02
102,4,71,36,2007-01-02
103,4,152,46,2007-01-02
104,4,-72,4,2007-01-02
105,5,-107,18,2007-01-02
106,5,155,47,2007-01-02
107,4,123,3,2007-01-02
108,3,3,35,2007-01-02
109,4,71,36,2007-01-02
110,3,143,21,2007-01-02
111,2,-5,37,2007-01-02
112,2,-119,36,2007-01-02
113,3,-5,37,2007-01-02
114,2,-5,37,2007-01-02
115,4,107,-9,2007-01-02
116,4,-89,12,2007-01-02
117,3,-66,18,2007-01-03
118,4,140,27,2007-01-03
119,4,129,-6,2007-01-03
120,3,-71,-29,2007-01-03
121,4,152,46,2007-01-03
122,4,-98,15,2007-01-03
123,4,-178,-17,2007-01-03
124,3,-70,-32,2007-01-03
125,3,22,39,2007-01-03
126,3,-94,17,2007-01-03
127,4,140,27,2007-01-03
128,4,99,0,2007-01-03
129,3,-69,-31,2007-01-03
130,4,67,1,2007-01-03
131,2,-4,36,2007-01-03
132,4,-110,80,2007-01-03
133,4,-97,16,2007-01-03
134,4,-94,15,2007-01-03
135,4,55,32,2007-01-03
136,3,-95,16,2007-01-03
137,4,70,36,2007-01-03
138,4,124,1,2007-01-03
139,4,128,2,2007-01-03
140,3,-70,-27,2007-01-03
141,4,150,-5,2007-01-03
142,3,24,34,2007-01-03
143,3,-65,19,2007-01-03
144,5,94,5,2007-01-03
145,5,151,-5,2007-01-03
146,3,6,45,2007-01-03
147,4,109,-9,2007-01-03
148,3,-71,-35,2007-01-03
149,2,-123,39,2007-01-03
150,2,7,46,2007-01-03
151,4,-104,37,2007-01-03
152,3,159,52,2007-01-03
153,4,42,38,2007-01-03
154,4,151,45,2007-01-03
155,4,140,36,2007-01-03
156,3,-69,-32,2007-01-03
157,2,-66,19,2007-01-03
158,3,-95,16,2007-01-03
159,4,94,5,2007-01-03
