,mag,longitude,latitude,time
0,5,-75,-10,2008-07-01
1,3,21,37,2008-07-01
2,5,-22,-58,2008-07-01
3,3,-115,32,2008-07-01
4,4,-75,-10,2008-07-01
5,5,-21,-58,2008-07-01
6,3,-64,18,2008-07-01
7,3,-177,-17,2008-07-01
8,4,100,0,2008-07-01
9,3,140,39,2008-07-01
10,4,-137,58,2008-07-01
11,3,-137,58,2008-07-01
12,2,-137,58,2008-07-01
13,2,23,38,2008-07-01
14,2,-137,58,2008-07-01
15,4,94,7,2008-07-01
16,4,-21,-58,2008-07-01
17,3,-137,58,2008-07-01
18,4,-92,14,2008-07-01
19,3,-12,36,2008-07-01
20,2,-137,58,2008-07-01
21,2,-152,59,2008-07-01
22,4,146,18,2008-07-01
23,2,-71,-30,2008-07-01
24,4,91,10,2008-07-01
25,4,147,-5,2008-07-01
26,3,57,28,2008-07-01
27,3,-60,12,2008-07-01
28,3,-70,-32,2008-07-01
29,4,-21,-58,2008-07-01
30,3,-97,16,2008-07-01
31,4,152,47,2008-07-01
32,4,-90,16,2008-07-01
33,3,21,36,2008-07-01
34,3,21,36,2008-07-01
35,2,-117,34,2008-07-01
36,2,-124,40,2008-07-01
37,3,-176,-16,2008-07-01
38,3,99,19,2008-07-01
39,4,-98,16,2008-07-01
40,3,21,40,2008-07-01
41,3,140,29,2008-07-01
42,5,-16,-33,2008-07-01
43,4,-150,-56,2008-07-01
44,2,-65,17,2008-07-01
45,4,140,38,2008-07-01
46,2,-65,18,2008-07-01
47,3,141,36,2008-07-01
48,4,-169,51,2008-07-01
49,3,-157,55,2008-07-01
50,4,-26,-55,2008-07-01
51,3,21,38,2008-07-01
52,3,21,40,2008-07-01
53,4,179,51,2008-07-01
54,3,156,-7,2008-07-01
55,4,179,-23,2008-07-01
56,3,-153,59,2008-07-01
57,5,-168,52,2008-07-01
58,4,127,1,2008-07-01
59,3,158,52,2008-07-01
60,3,-127,40,2008-07-01
61,3,20,37,2008-07-01
62,4,-176,52,2008-07-01
63,4,125,13,2008-07-01
64,4,173,-40,2008-07-01
65,3,21,38,2008-07-01
66,3,22,38,2008-07-01
67,3,21,38,2008-07-01
68,3,179,-26,2008-07-01
69,4,125,13,2008-07-01
70,3,94,7,2008-07-01
71,4,94,7,2008-07-01
72,2,0,43,2008-07-01
73,4,94,7,2008-07-01
74,4,94,7,2008-07-01
75,4,103,31,2008-07-01
76,4,94,7,2008-07-01
77,4,-173,-17,2008-07-01
78,3,122,0,2008-07-01
79,3,-66,-22,2008-07-01
80,2,-151,62,2008-07-01
81,3,71,36,2008-07-01
82,3,-126,40,2008-07-01
83,3,23,37,2008-07-01
84,4,149,44,2008-07-01
85,2,10,44,2008-07-01
86,3,21,38,2008-07-01
87,3,21,37,2008-07-01
88,3,21,38,2008-07-01
89,3,-160,53,2008-07-01
90,3,68,38,2008-07-01
91,5,-44,12,2008-07-02
92,3,23,35,2008-07-02
93,2,7,44,2008-07-02
94,4,94,12,2008-07-02
95,2,22,38,2008-07-02
96,4,-129,44,2008-07-02
97,4,-82,7,2008-07-02
98,4,179,-31,2008-07-02
99,3,179,-31,2008-07-02
100,2,21,37,2008-07-02
101,4,155,-6,2008-07-02
102,4,-178,-17,2008-07-02
103,4,-93,14,2008-07-02
104,2,21,36,2008-07-02
105,3,21,36,2008-07-02
106,4,-44,12,2008-07-02
107,4,126,1,2008-07-02
108,3,21,35,2008-07-02
109,4,122,0,2008-07-02
110,3,-64,18,2008-07-02
111,3,176,-39,2008-07-02
112,3,-68,-31,2008-07-02
113,3,141,11,2008-07-02
114,3,71,33,2008-07-02
115,3,-70,-34,2008-07-02
116,3,24,39,2008-07-02
117,2,-72,-30,2008-07-02
118,3,12,36,2008-07-02
119,4,129,-7,2008-07-02
120,3,35,33,2008-07-02
121,3,-137,58,2008-07-02
122,2,25,34,2008-07-02
123,4,95,2,2008-07-02
124,4,171,-22,2008-07-02
125,2,28,61,2008-07-02
126,3,-71,-32,2008-07-02
127,3,21,37,2008-07-02
128,2,-2,42,2008-07-02
129,4,-177,-19,2008-07-02
130,3,-99,17,2008-07-02
131,4,113,-10,2008-07-02
132,3,21,37,2008-07-02
133,4,97,1,2008-07-02
134,3,69,36,2008-07-02
135,2,16,46,2008-07-02
136,3,21,37,2008-07-02
137,4,103,31,2008-07-02
138,4,21,38,2008-07-02
139,3,-177,-18,2008-07-02
140,4,103,-6,2008-07-02
141,3,21,38,2008-07-02
142,4,179,-24,2008-07-02
143,4,-69,-19,2008-07-02
144,4,124,12,2008-07-02
145,4,103,30,2008-07-02
146,2,-120,44,2008-07-02
147,4,130,-6,2008-07-02
148,4,-173,-15,2008-07-02
149,4,43,37,2008-07-02
150,3,123,5,2008-07-02
151,5,88,35,2008-07-02
152,2,-122,38,2008-07-02
