,mag,longitude,latitude,time
0,2,23,40,2002-07-01
1,2,0,43,2002-07-01
2,3,-68,19,2002-07-01
3,3,26,35,2002-07-01
4,3,-101,17,2002-07-01
5,2,-118,37,2002-07-01
6,2,-114,32,2002-07-01
7,4,-71,-30,2002-07-01
8,4,141,40,2002-07-01
9,3,-65,17,2002-07-01
10,3,23,39,2002-07-01
11,3,71,36,2002-07-01
12,5,120,-1,2002-07-01
13,4,120,-1,2002-07-01
14,4,53,27,2002-07-01
15,2,14,45,2002-07-01
16,3,-69,-32,2002-07-01
17,4,-73,-34,2002-07-01
18,4,137,6,2002-07-01
19,4,26,34,2002-07-01
20,4,-90,13,2002-07-01
21,2,-150,62,2002-07-01
22,4,-68,-33,2002-07-01
23,3,-71,-33,2002-07-01
24,3,-71,-34,2002-07-01
25,3,-2,46,2002-07-01
26,2,-70,-34,2002-07-01
27,4,-93,15,2002-07-01
28,4,-76,-5,2002-07-01
29,4,153,-5,2002-07-01
30,2,-60,15,2002-07-01
31,3,-71,-32,2002-07-01
32,4,-101,17,2002-07-01
33,4,-26,-55,2002-07-01
34,4,129,-7,2002-07-01
35,3,-122,46,2002-07-01
36,2,-123,39,2002-07-01
37,3,-116,34,2002-07-01
38,4,149,44,2002-07-01
39,4,-94,15,2002-07-01
40,4,53,14,2002-07-01
41,3,71,37,2002-07-01
42,4,-99,16,2002-07-02
43,4,106,-7,2002-07-02
44,4,-73,-17,2002-07-02
45,2,-60,15,2002-07-02
46,5,133,-5,2002-07-02
47,3,20,39,2002-07-02
48,4,134,-3,2002-07-02
49,3,-70,-34,2002-07-02
50,4,-177,-15,2002-07-02
51,4,100,19,2002-07-02
52,4,-85,9,2002-07-02
53,3,-70,-32,2002-07-02
54,3,121,20,2002-07-02
55,4,150,-5,2002-07-02
56,4,153,-3,2002-07-02
57,2,-161,53,2002-07-02
58,2,-161,53,2002-07-02
59,4,-177,-20,2002-07-02
60,4,-177,-28,2002-07-02
61,5,-112,-29,2002-07-02
62,2,-157,64,2002-07-02
63,3,21,37,2002-07-02
64,2,21,42,2002-07-02
65,3,-161,53,2002-07-02
