,mag,longitude,latitude,time
0,2,5,44,1989-01-01
1,2,13,42,1989-01-01
2,3,23,36,1989-01-01
3,4,-174,51,1989-01-01
4,3,20,39,1989-01-01
5,3,-60,13,1989-01-01
6,4,128,3,1989-01-01
7,4,179,-25,1989-01-01
8,4,130,-4,1989-01-01
9,5,-77,-11,1989-01-01
10,2,-117,33,1989-01-01
11,3,20,40,1989-01-01
12,3,122,24,1989-01-01
13,3,27,35,1989-01-01
14,4,92,12,1989-01-01
15,4,126,9,1989-01-01
16,4,26,45,1989-01-01
17,4,-126,40,1989-01-01
18,4,54,27,1989-01-01
19,3,21,38,1989-01-01
20,5,-72,-32,1989-01-01
21,4,54,27,1989-01-01
22,4,-71,-32,1989-01-01
23,5,41,-11,1989-01-01
24,4,-67,49,1989-01-01
25,3,-114,28,1989-01-01
26,4,83,36,1989-01-01
27,5,-178,-18,1989-01-02
28,4,-27,47,1989-01-02
29,6,-174,-18,1989-01-02
30,2,-7,42,1989-01-02
31,4,154,46,1989-01-02
32,2,-115,33,1989-01-02
33,2,6,44,1989-01-02
34,4,-127,63,1989-01-02
35,4,149,-6,1989-01-02
36,4,142,28,1989-01-02
37,4,-161,54,1989-01-02
38,3,-59,11,1989-01-02
39,4,-178,-18,1989-01-02
40,4,140,-15,1989-01-02
41,5,128,3,1989-01-02
42,4,111,-9,1989-01-02
43,4,-88,12,1989-01-02
44,4,139,33,1989-01-02
45,4,151,-6,1989-01-02
46,2,18,42,1989-01-02
47,4,106,-6,1989-01-02
48,5,126,1,1989-01-02
49,2,-80,32,1989-01-02
50,4,130,-6,1989-01-02
51,2,-117,32,1989-01-02
52,2,-124,40,1989-01-02
53,3,-142,57,1989-01-02
54,3,122,0,1989-01-02
55,4,95,24,1989-01-02
56,4,26,45,1989-01-03
57,4,126,2,1989-01-03
58,3,5,43,1989-01-03
59,3,27,37,1989-01-03
60,5,131,29,1989-01-03
61,2,10,50,1989-01-03
62,2,-118,37,1989-01-03
63,3,20,38,1989-01-03
64,4,128,-7,1989-01-03
65,5,140,35,1989-01-03
66,3,20,40,1989-01-03
67,2,5,43,1989-01-03
68,3,-116,32,1989-01-03
69,2,6,58,1989-01-03
70,4,127,-9,1989-01-03
71,2,-117,32,1989-01-03
72,5,11,35,1989-01-03
73,3,95,4,1989-01-03
74,3,35,32,1989-01-03
75,3,-123,40,1989-01-03
76,4,11,35,1989-01-03
77,2,-87,38,1989-01-03
78,4,128,-3,1989-01-03
79,3,27,37,1989-01-03
80,2,-116,34,1989-01-04
81,3,27,39,1989-01-04
82,4,130,-6,1989-01-04
83,4,102,-4,1989-01-04
84,2,15,44,1989-01-04
85,3,22,39,1989-01-04
86,4,142,23,1989-01-04
87,2,-119,33,1989-01-04
88,2,-117,33,1989-01-04
89,3,22,40,1989-01-04
90,2,-115,32,1989-01-04
91,5,44,40,1989-01-04
92,2,-80,32,1989-01-04
93,5,146,-5,1989-01-04
94,2,-116,35,1989-01-04
95,4,167,-14,1989-01-04
96,4,124,0,1989-01-04
97,4,-176,-29,1989-01-04
