,mag,longitude,latitude,time
0,5,73,39,2009-07-01
1,2,-153,60,2009-07-01
2,2,-66,18,2009-07-01
3,4,98,0,2009-07-01
4,4,-67,-24,2009-07-01
5,3,-64,19,2009-07-01
6,3,-64,19,2009-07-01
7,4,-68,-19,2009-07-01
8,3,-70,-34,2009-07-01
9,4,133,0,2009-07-01
10,4,153,46,2009-07-01
11,3,-64,19,2009-07-01
12,3,-115,32,2009-07-01
13,3,-155,20,2009-07-01
14,4,-25,-56,2009-07-01
15,6,25,34,2009-07-01
16,4,25,33,2009-07-01
17,4,-26,-59,2009-07-01
18,4,25,34,2009-07-01
19,4,126,3,2009-07-01
20,4,25,34,2009-07-01
21,3,-122,48,2009-07-01
22,2,-122,38,2009-07-01
23,4,-175,-23,2009-07-01
24,2,-64,18,2009-07-01
25,2,-75,39,2009-07-01
26,4,-91,13,2009-07-01
27,3,-151,58,2009-07-01
28,2,-66,19,2009-07-01
29,3,-97,35,2009-07-01
30,4,-69,-20,2009-07-01
31,5,96,0,2009-07-01
32,3,-66,19,2009-07-01
33,5,143,13,2009-07-01
34,5,125,1,2009-07-01
35,4,-25,-56,2009-07-01
36,2,-164,52,2009-07-01
37,3,-65,17,2009-07-02
38,3,-66,19,2009-07-02
39,3,-114,37,2009-07-02
40,3,-66,18,2009-07-02
41,4,-25,-56,2009-07-02
42,4,-108,19,2009-07-02
43,4,141,36,2009-07-02
44,2,-114,37,2009-07-02
45,4,-75,-7,2009-07-02
46,5,-14,-11,2009-07-02
47,2,-175,51,2009-07-02
48,4,141,37,2009-07-02
49,4,-66,-24,2009-07-02
50,2,-149,61,2009-07-02
51,4,-175,-23,2009-07-02
52,2,-114,37,2009-07-02
53,2,-151,61,2009-07-02
54,2,-64,18,2009-07-02
55,4,-72,-13,2009-07-02
56,4,25,34,2009-07-02
57,2,-65,17,2009-07-02
58,4,-67,-32,2009-07-02
59,2,-163,52,2009-07-02
60,5,-178,-28,2009-07-02
61,3,-64,19,2009-07-02
62,5,-175,-14,2009-07-02
63,4,-71,-32,2009-07-02
64,3,-64,18,2009-07-02
65,5,100,-1,2009-07-02
66,3,-66,19,2009-07-02
67,4,69,34,2009-07-02
68,5,124,4,2009-07-02
69,4,143,11,2009-07-02
70,3,-64,19,2009-07-02
71,4,175,-38,2009-07-02
72,4,172,-41,2009-07-02
73,4,172,-41,2009-07-02
74,2,-64,18,2009-07-02
75,4,176,-37,2009-07-02
76,3,-64,19,2009-07-02
77,2,-136,59,2009-07-02
78,4,25,34,2009-07-02
79,4,-69,-17,2009-07-02
80,4,142,23,2009-07-02
81,2,-163,54,2009-07-02
82,2,-167,53,2009-07-02
83,5,42,-41,2009-07-02
84,4,25,34,2009-07-02
85,3,-154,56,2009-07-02
86,3,-122,47,2009-07-02
87,4,177,-36,2009-07-02
88,5,71,37,2009-07-02
89,3,-64,19,2009-07-03
90,4,70,-24,2009-07-03
91,4,-174,-21,2009-07-03
92,4,-131,53,2009-07-03
93,4,146,13,2009-07-03
94,2,179,50,2009-07-03
95,4,25,34,2009-07-03
96,4,25,34,2009-07-03
97,2,-178,50,2009-07-03
98,3,-151,62,2009-07-03
99,4,24,34,2009-07-03
100,4,154,-6,2009-07-03
101,4,122,24,2009-07-03
102,2,-66,18,2009-07-03
103,4,-14,-11,2009-07-03
104,3,-107,41,2009-07-03
105,4,-109,25,2009-07-03
106,4,25,34,2009-07-03
107,4,122,24,2009-07-03
108,5,-109,25,2009-07-03
109,5,-75,3,2009-07-03
110,4,-6,-49,2009-07-03
111,4,169,-18,2009-07-03
112,5,102,-2,2009-07-03
113,4,169,53,2009-07-03
114,6,-109,25,2009-07-03
115,3,173,51,2009-07-03
116,4,13,42,2009-07-03
117,4,-66,-24,2009-07-03
118,4,-25,-57,2009-07-03
119,2,-166,53,2009-07-03
120,5,131,-3,2009-07-03
121,5,139,-2,2009-07-03
122,4,155,49,2009-07-03
123,3,-175,51,2009-07-03
124,4,-8,-49,2009-07-03
125,4,69,35,2009-07-03
126,2,-148,61,2009-07-03
127,2,-155,19,2009-07-03
128,2,-159,54,2009-07-03
129,5,-8,-49,2009-07-03
130,5,-109,25,2009-07-03
131,3,-65,18,2009-07-03
132,4,-109,24,2009-07-03
133,3,-151,63,2009-07-03
134,2,-146,63,2009-07-03
135,4,126,3,2009-07-03
136,2,-125,40,2009-07-03
137,5,120,13,2009-07-04
138,5,142,-4,2009-07-04
139,2,-117,34,2009-07-04
140,2,-148,65,2009-07-04
141,4,-179,-23,2009-07-04
142,6,-78,9,2009-07-04
143,4,-174,-22,2009-07-04
144,5,127,-2,2009-07-04
145,4,-174,-21,2009-07-04
146,4,119,81,2009-07-04
147,2,-80,37,2009-07-04
148,3,-70,-34,2009-07-04
149,4,124,24,2009-07-04
150,4,164,-10,2009-07-04
151,4,101,-3,2009-07-04
152,3,-162,53,2009-07-04
153,5,142,11,2009-07-04
154,4,142,11,2009-07-04
155,4,142,11,2009-07-04
156,4,126,1,2009-07-04
157,4,142,11,2009-07-04
158,2,-151,63,2009-07-04
159,4,168,61,2009-07-04
160,4,-176,-21,2009-07-04
161,4,141,24,2009-07-04
162,5,142,11,2009-07-04
163,4,157,50,2009-07-04
164,5,-91,-39,2009-07-04
165,4,-72,6,2009-07-05
166,2,-118,38,2009-07-05
167,4,-95,17,2009-07-05
168,3,-143,62,2009-07-05
169,3,-167,52,2009-07-05
170,2,-146,61,2009-07-05
171,4,-27,-55,2009-07-05
172,4,142,11,2009-07-05
173,3,-178,51,2009-07-05
174,2,-118,37,2009-07-05
175,4,-72,-33,2009-07-05
176,5,71,36,2009-07-05
177,4,122,9,2009-07-05
178,2,-178,51,2009-07-05
179,5,-88,12,2009-07-05
180,4,142,11,2009-07-05
181,4,99,1,2009-07-05
182,3,-170,52,2009-07-05
183,4,-69,-31,2009-07-05
184,4,55,27,2009-07-05
185,4,-10,36,2009-07-05
186,2,-118,38,2009-07-05
187,5,144,14,2009-07-05
188,4,-6,31,2009-07-06
189,3,-65,18,2009-07-06
190,4,100,-47,2009-07-06
191,2,-152,60,2009-07-06
192,4,167,-17,2009-07-06
193,5,-78,9,2009-07-06
194,4,-14,-16,2009-07-06
195,5,-118,-52,2009-07-06
196,4,-118,-52,2009-07-06
197,5,-118,-52,2009-07-06
198,4,-118,-52,2009-07-06
199,2,-151,63,2009-07-06
200,2,-151,63,2009-07-06
201,2,-118,38,2009-07-06
202,4,94,24,2009-07-06
203,4,-86,15,2009-07-06
204,4,-4,81,2009-07-06
205,4,132,0,2009-07-06
206,4,142,27,2009-07-06
207,3,-67,18,2009-07-06
208,5,-86,11,2009-07-06
209,6,176,50,2009-07-06
210,3,177,50,2009-07-06
211,3,-64,18,2009-07-06
212,4,93,3,2009-07-06
213,2,-67,18,2009-07-06
214,2,-64,18,2009-07-06
215,4,-73,-39,2009-07-06
216,4,-68,-21,2009-07-06
217,5,128,24,2009-07-06
218,3,-147,65,2009-07-06
219,4,167,-17,2009-07-06
220,3,-122,38,2009-07-07
221,4,25,33,2009-07-07
222,4,97,1,2009-07-07
223,4,25,34,2009-07-07
224,4,-178,-31,2009-07-07
225,3,-65,18,2009-07-07
226,2,-151,63,2009-07-07
227,2,-116,34,2009-07-07
228,3,-64,18,2009-07-07
229,4,1,35,2009-07-07
230,4,-118,-52,2009-07-07
231,3,-122,38,2009-07-07
232,4,-70,-22,2009-07-07
233,4,132,0,2009-07-07
234,2,176,51,2009-07-07
235,5,-33,56,2009-07-07
236,2,-115,32,2009-07-07
237,3,-63,18,2009-07-07
238,4,153,-5,2009-07-07
239,3,-67,18,2009-07-07
240,2,-122,38,2009-07-07
241,2,-162,54,2009-07-07
242,4,-178,-17,2009-07-07
243,3,-125,40,2009-07-07
244,3,179,51,2009-07-07
245,4,38,38,2009-07-07
246,4,74,-28,2009-07-07
247,5,67,-26,2009-07-07
248,5,-71,-29,2009-07-07
249,4,122,24,2009-07-07
250,2,-121,44,2009-07-07
251,3,-151,58,2009-07-07
252,6,-72,75,2009-07-07
253,5,151,-5,2009-07-07
254,4,-173,-15,2009-07-07
255,4,73,39,2009-07-07
256,3,-63,17,2009-07-07
257,4,119,14,2009-07-07
258,2,-151,62,2009-07-07
259,4,151,-5,2009-07-08
260,2,-92,35,2009-07-08
261,3,-168,52,2009-07-08
262,4,-84,13,2009-07-08
263,2,-67,18,2009-07-08
264,4,-107,18,2009-07-08
265,3,-66,19,2009-07-08
266,4,147,-5,2009-07-08
