,mag,longitude,latitude,time
0,4,146,-3,2015-01-01
1,3,-97,36,2015-01-01
2,4,-17,64,2015-01-01
3,4,-165,53,2015-01-01
4,4,118,81,2015-01-01
5,2,-66,19,2015-01-01
6,2,-66,19,2015-01-01
7,4,-177,-18,2015-01-01
8,2,-173,51,2015-01-01
9,2,-97,36,2015-01-01
10,4,142,38,2015-01-01
11,4,169,-18,2015-01-01
12,4,-31,3,2015-01-01
13,4,139,36,2015-01-01
14,4,162,-11,2015-01-01
15,4,167,-12,2015-01-01
16,4,160,53,2015-01-01
17,2,-64,18,2015-01-01
18,3,-64,19,2015-01-01
19,2,-97,36,2015-01-01
20,2,-115,33,2015-01-01
21,5,51,28,2015-01-01
22,2,-174,52,2015-01-01
23,4,163,55,2015-01-01
24,4,-111,-11,2015-01-01
25,4,-111,-13,2015-01-01
26,3,-153,56,2015-01-01
27,2,-151,61,2015-01-01
28,4,152,46,2015-01-01
29,3,-97,36,2015-01-01
30,5,-125,40,2015-01-01
31,2,-67,18,2015-01-01
32,4,-17,64,2015-01-01
33,4,129,-2,2015-01-01
34,3,-119,41,2015-01-01
35,4,-178,51,2015-01-01
36,4,141,42,2015-01-01
37,2,-119,41,2015-01-01
38,3,-68,19,2015-01-01
39,4,-17,64,2015-01-01
40,3,-97,36,2015-01-01
41,4,-73,-7,2015-01-01
42,4,-172,-15,2015-01-01
43,4,-175,-22,2015-01-01
44,4,113,-9,2015-01-01
45,2,-151,61,2015-01-01
46,2,-179,50,2015-01-01
47,4,131,32,2015-01-01
48,2,-155,20,2015-01-01
49,4,121,8,2015-01-01
50,2,-179,50,2015-01-01
51,4,-173,-15,2015-01-01
52,4,60,6,2015-01-01
53,4,60,6,2015-01-01
54,4,121,23,2015-01-01
55,4,143,11,2015-01-01
56,4,178,-38,2015-01-01
57,4,-177,-23,2015-01-01
58,4,-28,49,2015-01-01
59,2,-150,61,2015-01-01
60,4,-150,-56,2015-01-01
61,4,14,41,2015-01-01
62,2,-153,59,2015-01-01
63,4,-71,-31,2015-01-01
64,3,-122,38,2015-01-01
65,4,-77,-1,2015-01-01
66,2,-112,40,2015-01-01
67,2,-174,50,2015-01-01
68,4,120,-2,2015-01-01
69,3,-67,18,2015-01-01
70,2,0,39,2015-01-01
71,4,123,0,2015-01-01
72,4,-70,-19,2015-01-01
73,2,-117,35,2015-01-01
74,2,-152,60,2015-01-02
75,4,151,-6,2015-01-02
76,3,-98,36,2015-01-02
77,2,-66,18,2015-01-02
78,4,140,35,2015-01-02
79,4,-69,-31,2015-01-02
80,4,126,8,2015-01-02
81,2,-126,40,2015-01-02
82,4,48,32,2015-01-02
83,2,-97,36,2015-01-02
84,4,23,34,2015-01-02
85,4,20,37,2015-01-02
86,2,-97,37,2015-01-02
87,2,-155,19,2015-01-02
88,2,-121,36,2015-01-02
89,2,-97,36,2015-01-02
90,2,-162,66,2015-01-02
91,4,60,6,2015-01-02
92,2,-97,35,2015-01-02
93,5,60,6,2015-01-02
94,5,60,6,2015-01-02
95,2,-97,37,2015-01-02
96,4,15,39,2015-01-02
97,3,-64,18,2015-01-02
98,4,128,2,2015-01-02
99,4,60,6,2015-01-02
100,2,-66,18,2015-01-02
101,3,-98,36,2015-01-02
102,2,-64,18,2015-01-02
103,2,-163,54,2015-01-02
104,4,-91,-40,2015-01-02
105,4,60,6,2015-01-02
106,5,-130,50,2015-01-02
107,5,-104,-4,2015-01-02
108,4,-103,-4,2015-01-02
109,2,-140,60,2015-01-02
110,2,-151,62,2015-01-02
111,2,-97,37,2015-01-02
112,2,-97,37,2015-01-02
113,4,-28,-55,2015-01-02
114,4,125,4,2015-01-02
115,2,-67,18,2015-01-02
116,2,-97,35,2015-01-02
117,2,-121,36,2015-01-02
118,3,-96,36,2015-01-02
119,2,-136,67,2015-01-02
120,4,147,15,2015-01-02
121,4,178,52,2015-01-02
122,4,-17,64,2015-01-02
123,4,97,1,2015-01-02
124,4,24,34,2015-01-02
125,4,-177,-20,2015-01-02
126,4,-70,19,2015-01-02
127,2,-66,18,2015-01-02
128,2,-97,35,2015-01-02
129,4,123,1,2015-01-02
130,5,126,2,2015-01-02
131,2,-97,35,2015-01-02
132,4,126,2,2015-01-02
133,4,142,11,2015-01-02
134,3,-153,59,2015-01-02
135,3,-64,18,2015-01-02
136,2,-65,19,2015-01-02
137,5,-150,-56,2015-01-02
138,3,-105,43,2015-01-02
139,4,60,6,2015-01-02
140,3,-178,51,2015-01-02
141,3,-150,59,2015-01-02
142,4,96,22,2015-01-02
143,4,122,0,2015-01-02
144,3,-68,17,2015-01-02
145,4,103,28,2015-01-03
146,2,-123,40,2015-01-03
147,4,-17,64,2015-01-03
148,4,-17,64,2015-01-03
149,4,-75,-15,2015-01-03
150,4,-68,-21,2015-01-03
151,4,-71,-27,2015-01-03
152,4,128,2,2015-01-03
153,4,26,45,2015-01-03
154,4,-147,-54,2015-01-03
155,2,-98,36,2015-01-03
156,4,-17,64,2015-01-03
157,4,123,12,2015-01-03
158,4,126,2,2015-01-03
159,4,126,2,2015-01-03
160,3,-145,61,2015-01-03
161,2,-124,40,2015-01-03
162,4,127,2,2015-01-03
163,4,126,1,2015-01-03
164,5,123,0,2015-01-03
165,4,-178,51,2015-01-03
166,2,-97,36,2015-01-03
167,3,-178,51,2015-01-03
168,2,-178,51,2015-01-03
169,4,161,-10,2015-01-03
170,4,113,56,2015-01-03
171,2,-111,42,2015-01-03
172,2,-97,36,2015-01-03
173,4,-17,64,2015-01-03
174,4,-83,17,2015-01-03
175,3,-97,36,2015-01-03
176,4,113,56,2015-01-03
177,4,113,56,2015-01-03
178,3,-63,18,2015-01-03
179,4,71,37,2015-01-03
180,2,-65,19,2015-01-03
181,4,125,3,2015-01-03
182,3,-123,39,2015-01-03
183,4,69,-22,2015-01-03
184,2,-118,35,2015-01-03
185,3,-97,36,2015-01-03
186,4,147,15,2015-01-03
187,3,-162,56,2015-01-03
188,4,126,1,2015-01-03
189,5,-114,44,2015-01-03
190,4,149,-5,2015-01-03
191,3,-114,44,2015-01-03
192,2,-114,44,2015-01-03
193,2,-97,35,2015-01-03
194,2,-114,44,2015-01-03
195,3,-98,36,2015-01-03
196,2,-114,44,2015-01-03
197,4,143,39,2015-01-03
198,3,-114,44,2015-01-03
199,3,-114,44,2015-01-03
200,3,-114,44,2015-01-03
201,3,-114,44,2015-01-03
202,2,-177,51,2015-01-03
203,5,168,-17,2015-01-03
204,3,-105,43,2015-01-03
205,4,143,39,2015-01-03
206,2,-97,35,2015-01-03
207,2,-97,35,2015-01-03
208,2,-98,36,2015-01-03
209,4,113,56,2015-01-03
210,4,113,56,2015-01-03
211,4,141,36,2015-01-03
212,3,-114,44,2015-01-03
213,2,-155,19,2015-01-03
214,4,-71,-29,2015-01-04
215,4,-17,64,2015-01-04
216,2,-114,44,2015-01-04
217,4,130,29,2015-01-04
218,4,130,29,2015-01-04
219,4,134,-4,2015-01-04
220,3,-114,44,2015-01-04
221,4,110,38,2015-01-04
222,4,-130,50,2015-01-04
223,2,-114,44,2015-01-04
224,4,130,29,2015-01-04
225,2,-114,44,2015-01-04
226,2,-176,51,2015-01-04
227,3,-114,44,2015-01-04
228,3,-67,18,2015-01-04
229,4,-66,-21,2015-01-04
230,3,-170,54,2015-01-04
231,3,-118,34,2015-01-04
232,4,-118,34,2015-01-04
233,4,121,-7,2015-01-04
234,3,-70,-26,2015-01-04
235,4,-174,52,2015-01-04
236,4,121,18,2015-01-04
237,4,-94,16,2015-01-04
238,5,130,29,2015-01-04
239,3,-119,41,2015-01-04
240,3,-114,44,2015-01-04
241,4,125,4,2015-01-04
242,3,-119,41,2015-01-04
243,2,-114,44,2015-01-04
244,3,-114,44,2015-01-04
245,2,-119,41,2015-01-04
246,4,-17,64,2015-01-04
247,3,-119,41,2015-01-04
248,2,-114,44,2015-01-04
249,4,-178,-21,2015-01-04
250,3,-119,41,2015-01-04
251,2,-118,34,2015-01-04
252,2,-119,41,2015-01-04
253,4,-119,41,2015-01-04
254,2,-119,41,2015-01-04
255,2,-119,41,2015-01-04
256,3,-114,44,2015-01-04
257,3,-98,37,2015-01-04
258,2,-119,41,2015-01-04
259,2,-151,60,2015-01-04
260,2,-156,56,2015-01-04
261,3,-114,44,2015-01-04
262,2,-119,41,2015-01-04
263,4,125,0,2015-01-04
264,4,60,64,2015-01-04
265,4,167,-13,2015-01-04
266,5,-150,-56,2015-01-04
267,2,-97,36,2015-01-04
268,2,-121,36,2015-01-04
269,2,-114,44,2015-01-04
270,2,-119,41,2015-01-04
271,4,141,36,2015-01-04
272,2,-155,19,2015-01-04
273,4,102,-4,2015-01-04
274,2,-114,44,2015-01-04
275,4,26,45,2015-01-04
276,3,-119,41,2015-01-04
277,4,95,2,2015-01-04
278,4,-178,-18,2015-01-04
279,4,178,-25,2015-01-04
280,4,-45,14,2015-01-04
281,2,-114,44,2015-01-04
282,5,-44,14,2015-01-04
283,3,-97,35,2015-01-04
284,2,-151,63,2015-01-04
285,4,-76,-6,2015-01-04
286,4,140,26,2015-01-04
287,4,147,45,2015-01-04
288,2,-97,36,2015-01-04
289,4,157,-57,2015-01-04
290,4,-17,64,2015-01-04
291,2,-119,41,2015-01-04
292,5,150,-7,2015-01-04
293,2,-98,37,2015-01-04
294,4,179,-24,2015-01-05
295,3,-164,53,2015-01-05
296,4,160,-10,2015-01-05
297,4,165,61,2015-01-05
298,4,122,2,2015-01-05
299,2,-161,54,2015-01-05
300,3,-119,41,2015-01-05
301,4,47,32,2015-01-05
302,4,-172,-19,2015-01-05
303,4,142,37,2015-01-05
304,4,129,-6,2015-01-05
305,3,-63,17,2015-01-05
306,3,-64,19,2015-01-05
307,3,-153,60,2015-01-05
308,4,-175,51,2015-01-05
309,4,123,0,2015-01-05
310,5,151,-4,2015-01-05
311,3,-176,51,2015-01-05
312,2,-137,58,2015-01-05
313,4,122,24,2015-01-05
314,4,113,56,2015-01-05
315,4,113,56,2015-01-05
316,4,130,-7,2015-01-05
317,2,-119,41,2015-01-05
318,4,113,56,2015-01-05
319,2,-116,35,2015-01-05
320,4,142,30,2015-01-05
321,4,142,30,2015-01-05
322,4,142,30,2015-01-05
323,4,126,3,2015-01-05
324,3,-155,57,2015-01-05
325,2,-154,58,2015-01-05
326,4,-66,-23,2015-01-05
327,2,-140,67,2015-01-05
328,2,-151,61,2015-01-05
329,4,26,34,2015-01-05
330,3,-98,36,2015-01-05
331,3,-98,37,2015-01-05
332,4,-150,-56,2015-01-05
333,4,51,28,2015-01-05
334,4,51,28,2015-01-05
335,3,-98,36,2015-01-05
336,2,-161,53,2015-01-05
337,4,126,6,2015-01-05
338,2,-119,41,2015-01-05
339,4,125,6,2015-01-05
340,4,131,32,2015-01-05
341,2,-178,51,2015-01-05
342,4,141,30,2015-01-05
343,5,142,30,2015-01-05
344,2,-66,18,2015-01-05
345,2,-96,36,2015-01-05
346,5,142,30,2015-01-05
347,3,-152,60,2015-01-05
348,3,-119,41,2015-01-05
349,4,93,24,2015-01-05
350,3,-119,41,2015-01-05
351,4,178,51,2015-01-05
352,4,-178,-17,2015-01-05
353,4,-179,51,2015-01-05
354,4,171,-21,2015-01-05
355,4,141,30,2015-01-05
356,3,-63,18,2015-01-05
357,5,171,-43,2015-01-05
358,2,-156,57,2015-01-05
359,4,131,-3,2015-01-05
360,3,-105,44,2015-01-05
361,4,144,22,2015-01-05
362,4,-174,-16,2015-01-05
363,4,131,-3,2015-01-05
364,2,-155,19,2015-01-05
365,4,81,28,2015-01-05
366,4,142,30,2015-01-05
367,4,-179,-21,2015-01-05
368,2,178,51,2015-01-05
369,5,-17,64,2015-01-05
370,2,-97,37,2015-01-05
371,4,143,21,2015-01-05
372,3,-97,36,2015-01-05
373,4,147,-5,2015-01-05
374,2,-97,36,2015-01-05
375,2,-97,36,2015-01-05
376,3,-97,36,2015-01-05
377,4,131,-3,2015-01-05
378,4,99,-3,2015-01-05
379,4,124,-48,2015-01-05
380,2,-97,35,2015-01-05
381,4,93,32,2015-01-05
382,3,-119,41,2015-01-05
383,2,-115,32,2015-01-05
384,2,-66,18,2015-01-05
385,5,164,-49,2015-01-06
386,2,-97,36,2015-01-06
387,2,-97,35,2015-01-06
388,4,-179,-32,2015-01-06
389,2,-119,41,2015-01-06
390,2,-114,44,2015-01-06
391,5,-150,-56,2015-01-06
392,4,-71,-30,2015-01-06
393,3,-162,67,2015-01-06
394,3,-64,19,2015-01-06
395,4,167,-16,2015-01-06
396,4,-177,-20,2015-01-06
397,2,-119,41,2015-01-06
398,4,-179,-33,2015-01-06
399,2,-125,40,2015-01-06
400,4,124,2,2015-01-06
401,4,171,-43,2015-01-06
402,2,-98,36,2015-01-06
403,4,166,-11,2015-01-06
404,2,-97,36,2015-01-06
405,4,-112,-29,2015-01-06
406,4,-69,-18,2015-01-06
407,2,-64,18,2015-01-06
408,2,-155,19,2015-01-06
409,2,-174,53,2015-01-06
410,4,-67,-24,2015-01-06
411,4,-3,71,2015-01-06
412,2,-116,34,2015-01-06
413,3,-119,38,2015-01-06
414,4,-176,-23,2015-01-06
415,2,-163,53,2015-01-06
416,3,-119,41,2015-01-06
417,2,-126,42,2015-01-06
418,2,-114,44,2015-01-06
419,3,176,51,2015-01-06
420,3,-155,19,2015-01-06
421,4,-98,17,2015-01-06
422,4,-17,64,2015-01-06
423,2,-98,36,2015-01-06
424,4,-177,-30,2015-01-06
425,4,-3,71,2015-01-06
426,3,-97,36,2015-01-06
427,4,131,-6,2015-01-06
428,4,128,2,2015-01-06
429,3,-116,38,2015-01-06
430,3,-159,55,2015-01-06
431,4,129,-6,2015-01-06
432,4,48,33,2015-01-06
433,2,-97,36,2015-01-06
434,4,-174,51,2015-01-06
