,mag,longitude,latitude,time
0,3,166,-12,2006-07-01
1,4,146,-5,2006-07-01
2,2,-9,43,2006-07-01
3,2,-116,31,2006-07-01
4,3,117,-8,2006-07-01
5,2,6,49,2006-07-01
6,2,-161,54,2006-07-01
7,5,-177,-29,2006-07-01
8,3,4,36,2006-07-01
9,3,71,36,2006-07-01
10,4,151,-6,2006-07-01
11,3,21,39,2006-07-01
12,2,-70,-29,2006-07-01
13,3,-122,46,2006-07-01
14,4,148,-4,2006-07-01
15,2,-69,-31,2006-07-01
16,4,128,2,2006-07-01
17,4,-100,16,2006-07-01
18,4,-93,15,2006-07-01
19,4,-66,-24,2006-07-01
20,4,30,34,2006-07-01
21,4,121,18,2006-07-01
22,3,-122,38,2006-07-01
23,3,-169,52,2006-07-01
24,4,137,-1,2006-07-01
25,3,20,38,2006-07-01
26,3,94,30,2006-07-01
27,4,125,0,2006-07-01
28,4,-177,51,2006-07-01
29,4,106,-7,2006-07-01
30,3,55,26,2006-07-01
31,3,32,34,2006-07-01
32,4,-175,-16,2006-07-01
33,4,177,-36,2006-07-01
34,3,76,39,2006-07-01
35,3,-6,33,2006-07-01
36,3,-72,-31,2006-07-01
37,4,23,38,2006-07-01
38,3,-99,16,2006-07-01
39,2,15,38,2006-07-01
40,3,-69,-31,2006-07-01
41,3,-96,15,2006-07-01
42,4,-28,43,2006-07-01
43,3,72,34,2006-07-01
44,3,-67,-24,2006-07-01
45,4,-89,13,2006-07-01
46,4,156,50,2006-07-01
47,4,-64,8,2006-07-01
48,4,130,-5,2006-07-01
49,3,23,38,2006-07-01
50,4,-34,52,2006-07-01
51,5,-179,51,2006-07-01
52,4,146,21,2006-07-01
53,3,21,38,2006-07-01
54,4,-179,51,2006-07-01
55,5,-25,-56,2006-07-01
56,3,122,0,2006-07-01
57,3,-174,51,2006-07-01
58,3,-179,51,2006-07-01
59,3,179,-31,2006-07-01
60,4,45,37,2006-07-01
61,3,119,13,2006-07-01
62,4,-179,51,2006-07-01
63,4,-179,51,2006-07-01
64,4,127,1,2006-07-01
65,4,-176,-25,2006-07-01
66,4,-179,50,2006-07-01
67,2,3,43,2006-07-01
68,4,-29,43,2006-07-01
69,4,-179,50,2006-07-01
70,3,-179,50,2006-07-01
71,4,-179,51,2006-07-01
72,5,126,0,2006-07-01
73,3,-101,17,2006-07-01
74,3,-152,59,2006-07-01
75,3,-68,19,2006-07-02
76,3,127,-2,2006-07-02
77,4,147,-6,2006-07-02
78,3,-71,-29,2006-07-02
79,2,-121,36,2006-07-02
80,3,97,1,2006-07-02
81,4,95,2,2006-07-02
82,5,-176,-20,2006-07-02
83,4,-98,16,2006-07-02
84,5,176,51,2006-07-02
85,4,-179,-23,2006-07-02
86,4,59,60,2006-07-02
87,2,23,38,2006-07-02
88,4,143,31,2006-07-02
89,2,-122,39,2006-07-02
90,4,-92,15,2006-07-02
91,3,-153,58,2006-07-02
92,3,20,37,2006-07-02
93,3,20,37,2006-07-02
94,4,28,36,2006-07-02
95,2,-67,18,2006-07-02
96,4,-21,-13,2006-07-02
97,4,177,-37,2006-07-02
98,4,129,29,2006-07-02
99,2,20,41,2006-07-02
100,4,149,-5,2006-07-02
101,3,21,38,2006-07-02
102,4,-179,51,2006-07-02
103,4,-27,-56,2006-07-02
104,4,-179,51,2006-07-02
105,3,-71,-29,2006-07-02
106,2,0,47,2006-07-02
107,2,23,38,2006-07-02
108,3,-66,20,2006-07-02
109,2,8,48,2006-07-02
110,3,7,52,2006-07-02
111,2,-121,36,2006-07-02
112,3,-179,50,2006-07-02
113,3,19,40,2006-07-02
114,4,149,46,2006-07-02
115,4,151,-5,2006-07-02
116,4,125,0,2006-07-02
117,2,-71,-27,2006-07-02
118,5,-179,51,2006-07-02
119,4,71,33,2006-07-02
120,5,-179,51,2006-07-02
121,3,-179,51,2006-07-02
122,3,15,38,2006-07-02
123,3,-179,51,2006-07-02
124,4,-88,12,2006-07-02
125,5,-179,51,2006-07-02
126,4,174,-39,2006-07-02
127,5,-179,51,2006-07-02
128,4,156,50,2006-07-02
129,3,176,-38,2006-07-02
130,3,121,23,2006-07-02
131,3,-179,50,2006-07-02
132,4,-179,51,2006-07-02
133,4,-179,51,2006-07-02
134,4,71,36,2006-07-02
135,5,40,39,2006-07-02
136,4,97,0,2006-07-02
137,4,147,-5,2006-07-02
138,3,20,38,2006-07-02
139,4,-179,51,2006-07-02
140,4,-179,51,2006-07-02
141,3,-70,-25,2006-07-02
142,3,21,44,2006-07-02
143,2,-70,-30,2006-07-02
144,3,-68,-20,2006-07-02
145,4,168,-15,2006-07-02
146,3,-179,-16,2006-07-02
147,3,-70,-35,2006-07-02
148,3,70,38,2006-07-02
149,4,96,5,2006-07-02
150,2,150,-32,2006-07-02
151,3,-179,51,2006-07-02
152,4,38,19,2006-07-02
153,4,150,-5,2006-07-02
154,4,146,19,2006-07-03
155,3,25,40,2006-07-03
156,3,-174,51,2006-07-03
