,mag,longitude,latitude,time
0,4,150,-3,2004-07-01
1,4,150,-3,2004-07-01
2,3,-133,58,2004-07-01
3,5,149,-3,2004-07-01
4,2,-161,54,2004-07-01
5,4,-35,53,2004-07-01
6,3,-120,42,2004-07-01
7,2,-120,35,2004-07-01
8,2,179,51,2004-07-01
9,4,-178,-15,2004-07-01
10,4,124,9,2004-07-01
11,6,163,-49,2004-07-01
12,4,123,-10,2004-07-01
13,3,22,36,2004-07-01
14,5,-173,-15,2004-07-01
15,3,-120,42,2004-07-01
16,4,124,-10,2004-07-01
17,4,-68,18,2004-07-01
18,3,24,34,2004-07-01
19,2,27,36,2004-07-01
20,4,-103,17,2004-07-01
21,4,147,15,2004-07-01
22,4,124,9,2004-07-01
23,5,-35,54,2004-07-01
24,5,-35,54,2004-07-01
25,3,-72,-35,2004-07-01
26,4,-35,54,2004-07-01
27,4,92,6,2004-07-01
28,5,-35,54,2004-07-01
29,5,-175,-23,2004-07-01
30,4,-35,54,2004-07-01
31,4,119,15,2004-07-01
32,3,26,40,2004-07-01
33,4,-178,-14,2004-07-01
34,3,26,40,2004-07-01
35,4,-89,13,2004-07-01
36,4,-175,-23,2004-07-01
37,4,-171,-17,2004-07-01
38,3,-69,-31,2004-07-01
39,4,-87,13,2004-07-01
40,4,-175,-24,2004-07-01
41,4,-175,-22,2004-07-01
42,4,-87,9,2004-07-01
43,4,-90,13,2004-07-01
44,5,-86,10,2004-07-01
45,4,-178,-17,2004-07-01
46,3,-71,-31,2004-07-01
47,4,111,-9,2004-07-01
48,4,123,12,2004-07-01
49,5,-177,-22,2004-07-01
50,3,25,40,2004-07-01
51,3,26,40,2004-07-01
52,4,26,40,2004-07-01
53,4,126,8,2004-07-01
54,2,-71,-32,2004-07-01
55,2,0,43,2004-07-01
56,3,25,40,2004-07-01
57,2,6,49,2004-07-01
58,4,126,5,2004-07-01
59,4,73,38,2004-07-01
60,5,-179,-25,2004-07-01
61,2,-115,32,2004-07-01
62,4,-71,-18,2004-07-01
63,2,14,38,2004-07-01
64,4,119,15,2004-07-01
65,5,168,-14,2004-07-01
66,4,148,48,2004-07-01
67,3,-65,19,2004-07-01
68,4,150,-5,2004-07-01
69,3,-71,-32,2004-07-01
70,3,-177,51,2004-07-01
71,4,127,5,2004-07-01
72,4,87,29,2004-07-01
73,5,148,-5,2004-07-01
74,4,156,-8,2004-07-01
75,3,-65,18,2004-07-01
76,3,-144,63,2004-07-01
77,5,121,17,2004-07-01
78,5,43,39,2004-07-01
79,3,147,-5,2004-07-01
80,4,144,-4,2004-07-01
81,3,146,-6,2004-07-01
82,2,-121,37,2004-07-01
83,3,173,-39,2004-07-02
84,4,137,-2,2004-07-02
85,4,138,-2,2004-07-02
86,2,-123,38,2004-07-02
87,4,123,0,2004-07-02
88,3,-70,-28,2004-07-02
89,4,-11,-4,2004-07-02
90,3,-123,38,2004-07-02
91,2,14,38,2004-07-02
92,2,-60,15,2004-07-02
93,4,-19,63,2004-07-02
94,4,-156,56,2004-07-02
95,4,167,-14,2004-07-02
96,3,-68,-32,2004-07-02
97,3,-70,-32,2004-07-02
98,3,21,37,2004-07-02
99,4,-27,-56,2004-07-02
100,2,-117,36,2004-07-02
101,2,-121,37,2004-07-02
102,4,155,-7,2004-07-02
103,2,-120,42,2004-07-02
104,2,-61,15,2004-07-02
105,2,13,41,2004-07-02
106,2,23,38,2004-07-02
107,5,67,-8,2004-07-02
108,4,-71,-28,2004-07-02
109,4,48,35,2004-07-02
110,4,-35,54,2004-07-02
111,4,169,-18,2004-07-02
112,2,-122,38,2004-07-02
113,4,126,0,2004-07-02
114,4,-10,36,2004-07-02
115,4,-176,-28,2004-07-02
116,3,-69,-31,2004-07-02
117,2,-121,35,2004-07-02
118,4,126,1,2004-07-02
119,4,-179,-21,2004-07-02
120,2,-70,-32,2004-07-02
121,2,-124,40,2004-07-02
122,5,143,40,2004-07-02
123,2,-70,-31,2004-07-02
124,2,-71,-33,2004-07-02
125,3,27,36,2004-07-02
126,4,123,0,2004-07-02
127,2,20,41,2004-07-02
128,4,8,36,2004-07-02
129,2,-122,46,2004-07-02
130,2,12,43,2004-07-02
131,4,-173,-19,2004-07-02
132,4,126,1,2004-07-02
133,4,97,2,2004-07-02
134,4,-175,-23,2004-07-03
135,3,23,39,2004-07-03
136,3,-72,-33,2004-07-03
137,2,14,36,2004-07-03
138,2,20,41,2004-07-03
139,4,-72,-33,2004-07-03
140,3,-169,52,2004-07-03
141,2,-72,-33,2004-07-03
142,2,-72,-33,2004-07-03
143,3,-73,-11,2004-07-03
144,3,-7,30,2004-07-03
145,2,-72,-33,2004-07-03
146,3,177,-38,2004-07-03
147,2,2,45,2004-07-03
148,4,-178,-20,2004-07-03
149,3,-71,-35,2004-07-03
150,3,179,-25,2004-07-03
151,4,125,-7,2004-07-03
152,4,49,40,2004-07-03
153,4,169,-22,2004-07-03
154,3,27,37,2004-07-03
155,4,-173,-15,2004-07-03
156,2,-120,39,2004-07-03
157,4,130,-6,2004-07-03
158,4,-179,-17,2004-07-03
159,3,-66,-23,2004-07-03
160,4,-178,-16,2004-07-03
161,5,89,34,2004-07-03
162,4,89,34,2004-07-03
163,3,-68,18,2004-07-03
164,2,12,42,2004-07-03
165,3,132,0,2004-07-03
166,4,126,3,2004-07-03
167,4,144,42,2004-07-03
168,3,20,38,2004-07-03
169,4,125,11,2004-07-03
170,3,-98,16,2004-07-03
171,2,33,35,2004-07-03
172,3,19,37,2004-07-03
173,4,167,-45,2004-07-03
174,4,89,34,2004-07-03
175,4,128,-6,2004-07-03
176,4,27,36,2004-07-03
177,4,-179,-24,2004-07-03
178,4,141,40,2004-07-03
179,2,-150,61,2004-07-03
180,4,128,-1,2004-07-03
181,3,-165,53,2004-07-03
182,4,160,53,2004-07-03
183,2,-67,17,2004-07-03
184,4,31,38,2004-07-03
185,2,-177,51,2004-07-03
186,4,179,-24,2004-07-03
187,2,-72,-33,2004-07-03
188,2,26,40,2004-07-03
189,4,129,28,2004-07-03
190,2,-174,51,2004-07-03
191,3,-70,-28,2004-07-03
192,4,56,28,2004-07-03
193,3,-127,41,2004-07-03
194,4,-130,50,2004-07-03
195,3,-115,37,2004-07-03
196,3,-71,-32,2004-07-03
197,4,128,24,2004-07-03
198,4,144,21,2004-07-04
199,2,16,51,2004-07-04
200,3,-72,-33,2004-07-04
201,3,-90,15,2004-07-04
202,3,-69,-17,2004-07-04
203,3,24,34,2004-07-04
204,3,-70,-34,2004-07-04
205,2,11,43,2004-07-04
206,3,-66,19,2004-07-04
207,4,-95,16,2004-07-04
208,3,147,17,2004-07-04
209,4,-86,10,2004-07-04
210,4,168,-18,2004-07-04
211,3,24,39,2004-07-04
212,4,-73,-41,2004-07-04
213,3,133,-19,2004-07-04
214,2,-155,56,2004-07-04
215,3,26,40,2004-07-04
216,4,89,34,2004-07-04
217,4,144,-3,2004-07-04
218,3,-71,-30,2004-07-04
219,3,155,48,2004-07-04
220,3,-172,-18,2004-07-04
221,3,27,37,2004-07-04
222,4,70,36,2004-07-04
223,4,-86,10,2004-07-04
224,3,-66,18,2004-07-04
225,2,21,38,2004-07-04
226,3,-71,-30,2004-07-04
227,3,27,36,2004-07-04
228,3,27,36,2004-07-04
229,2,-71,-32,2004-07-04
230,3,23,39,2004-07-04
231,5,142,42,2004-07-04
232,2,-177,50,2004-07-04
233,4,173,-42,2004-07-04
234,3,20,37,2004-07-04
235,4,138,34,2004-07-04
236,2,-9,37,2004-07-04
237,3,-9,36,2004-07-04
238,4,-175,-22,2004-07-04
239,3,147,-5,2004-07-04
240,2,6,45,2004-07-04
241,5,-82,4,2004-07-04
242,4,122,19,2004-07-04
243,3,-67,-31,2004-07-04
244,2,-178,51,2004-07-04
245,4,-173,-17,2004-07-04
246,3,45,43,2004-07-04
247,3,-79,1,2004-07-04
248,3,69,37,2004-07-04
249,4,145,13,2004-07-04
250,4,102,-5,2004-07-04
251,4,127,24,2004-07-04
252,4,126,23,2004-07-04
253,4,128,2,2004-07-04
254,4,140,26,2004-07-04
255,2,-162,65,2004-07-04
256,2,-60,15,2004-07-04
257,3,-152,59,2004-07-04
258,5,-134,54,2004-07-04
259,3,-71,-15,2004-07-05
260,4,166,-12,2004-07-05
261,3,27,36,2004-07-05
262,3,149,45,2004-07-05
263,2,-118,37,2004-07-05
264,3,-70,-31,2004-07-05
265,4,-174,-22,2004-07-05
266,2,-124,40,2004-07-05
267,3,-68,-32,2004-07-05
268,2,-118,37,2004-07-05
269,2,12,42,2004-07-05
270,3,-173,52,2004-07-05
271,3,-120,42,2004-07-05
272,3,-69,-31,2004-07-05
273,3,-71,-32,2004-07-05
274,3,-18,-42,2004-07-05
275,2,-8,42,2004-07-05
276,4,122,-5,2004-07-05
277,2,-70,-32,2004-07-05
278,4,147,44,2004-07-05
279,2,12,43,2004-07-05
280,4,170,-14,2004-07-05
281,2,-163,65,2004-07-05
282,4,125,-6,2004-07-05
283,4,141,37,2004-07-05
284,3,-121,35,2004-07-05
285,4,-70,72,2004-07-05
286,2,-121,35,2004-07-05
287,4,-97,15,2004-07-05
288,3,-70,-33,2004-07-05
289,3,-66,-20,2004-07-05
290,4,-178,-17,2004-07-05
291,2,15,39,2004-07-05
292,4,-175,-23,2004-07-05
293,4,100,-3,2004-07-05
294,3,25,35,2004-07-05
295,4,-97,16,2004-07-05
296,2,13,38,2004-07-05
297,4,-68,-31,2004-07-05
298,3,-166,67,2004-07-05
299,3,-3,34,2004-07-05
300,3,-4,34,2004-07-05
301,4,145,19,2004-07-05
302,4,89,34,2004-07-05
303,4,124,-8,2004-07-05
304,4,98,0,2004-07-05
305,3,0,53,2004-07-05
306,4,168,-19,2004-07-05
307,4,-176,-22,2004-07-05
