,mag,longitude,latitude,time
0,4,177,-36,2005-07-01
1,4,97,1,2005-07-01
2,4,120,21,2005-07-01
3,3,-31,52,2005-07-01
4,3,-61,15,2005-07-01
5,2,-165,53,2005-07-01
6,4,155,50,2005-07-01
7,4,93,7,2005-07-01
8,4,-95,17,2005-07-01
9,3,-65,19,2005-07-01
10,5,71,36,2005-07-01
11,2,-152,60,2005-07-01
12,4,59,34,2005-07-01
13,4,98,0,2005-07-01
14,3,26,38,2005-07-01
15,3,-177,-18,2005-07-01
16,4,97,1,2005-07-01
17,4,-82,8,2005-07-01
18,4,-177,-15,2005-07-01
19,2,-122,40,2005-07-01
20,2,-9,36,2005-07-01
21,4,-69,-19,2005-07-01
22,2,-67,18,2005-07-01
23,3,-110,34,2005-07-01
24,4,153,-9,2005-07-01
25,3,-70,-33,2005-07-01
26,2,0,43,2005-07-01
27,2,23,37,2005-07-01
28,3,24,37,2005-07-01
29,3,25,36,2005-07-01
30,5,139,31,2005-07-01
31,3,72,34,2005-07-01
32,3,-70,-32,2005-07-01
33,3,-71,-32,2005-07-01
34,4,142,41,2005-07-01
35,4,102,-2,2005-07-01
36,2,-119,34,2005-07-01
37,4,125,4,2005-07-01
38,2,-149,63,2005-07-01
39,2,23,37,2005-07-01
40,4,98,0,2005-07-01
41,2,7,46,2005-07-01
42,4,144,-4,2005-07-01
43,2,-176,52,2005-07-01
44,3,-68,-31,2005-07-01
45,2,19,51,2005-07-01
46,4,124,2,2005-07-01
47,4,91,7,2005-07-01
48,3,21,35,2005-07-01
49,3,-67,17,2005-07-01
50,4,-74,-8,2005-07-01
51,3,73,38,2005-07-01
52,4,97,0,2005-07-01
53,3,-111,34,2005-07-01
54,2,23,38,2005-07-01
55,3,-66,-23,2005-07-01
56,3,-158,55,2005-07-01
57,3,23,37,2005-07-01
58,3,94,11,2005-07-01
59,3,26,39,2005-07-01
60,4,123,16,2005-07-01
61,4,-176,-26,2005-07-01
62,5,-178,-20,2005-07-01
63,3,21,38,2005-07-01
64,3,-94,16,2005-07-01
65,4,-61,15,2005-07-01
66,3,56,28,2005-07-01
67,2,16,51,2005-07-01
68,3,16,51,2005-07-01
69,3,-2,35,2005-07-01
70,4,-69,19,2005-07-01
71,3,24,36,2005-07-01
72,3,26,38,2005-07-01
73,4,-68,-19,2005-07-01
74,3,-71,-31,2005-07-02
75,5,143,39,2005-07-02
76,3,-65,18,2005-07-02
77,4,26,37,2005-07-02
78,3,70,39,2005-07-02
79,4,154,-5,2005-07-02
80,6,-86,11,2005-07-02
81,5,-86,11,2005-07-02
82,4,-86,11,2005-07-02
83,4,-68,-19,2005-07-02
84,2,-123,38,2005-07-02
85,5,-86,11,2005-07-02
86,3,175,-37,2005-07-02
87,3,-163,53,2005-07-02
88,4,-93,15,2005-07-02
89,3,-67,19,2005-07-02
90,2,-151,63,2005-07-02
91,4,-99,16,2005-07-02
92,4,3,36,2005-07-02
93,4,-99,16,2005-07-02
94,4,167,-15,2005-07-02
95,3,-68,-31,2005-07-02
96,4,119,-8,2005-07-02
97,4,97,0,2005-07-02
98,4,97,1,2005-07-02
99,3,6,49,2005-07-02
100,4,96,28,2005-07-02
101,4,-86,11,2005-07-02
102,3,-70,-34,2005-07-02
103,4,69,-1,2005-07-02
104,4,97,0,2005-07-02
105,3,-98,16,2005-07-02
106,3,-68,18,2005-07-02
107,3,-85,11,2005-07-02
108,4,-3,35,2005-07-02
109,3,-122,46,2005-07-02
110,3,-93,15,2005-07-02
111,4,130,30,2005-07-02
112,4,125,9,2005-07-02
113,4,92,9,2005-07-02
114,4,95,2,2005-07-02
115,4,95,2,2005-07-02
116,4,95,2,2005-07-02
117,4,27,35,2005-07-02
118,3,26,35,2005-07-02
119,5,93,13,2005-07-02
120,3,-67,-31,2005-07-02
121,4,-69,19,2005-07-02
122,3,-70,-34,2005-07-02
123,4,97,0,2005-07-02
124,2,-71,-32,2005-07-02
125,2,-118,38,2005-07-02
126,2,-7,39,2005-07-02
127,2,-122,46,2005-07-02
128,3,-66,18,2005-07-02
129,2,-178,51,2005-07-02
130,3,175,-39,2005-07-03
131,3,20,38,2005-07-03
132,4,144,13,2005-07-03
133,3,-61,15,2005-07-03
134,4,126,1,2005-07-03
135,4,94,5,2005-07-03
136,4,149,45,2005-07-03
137,4,142,42,2005-07-03
138,3,-71,-33,2005-07-03
139,3,-63,18,2005-07-03
140,2,-66,18,2005-07-03
141,3,34,34,2005-07-03
142,2,-147,63,2005-07-03
143,4,175,-16,2005-07-03
144,4,96,1,2005-07-03
145,3,55,28,2005-07-03
146,3,-68,-31,2005-07-03
147,4,-70,-15,2005-07-03
148,2,8,44,2005-07-03
149,4,-176,-27,2005-07-03
150,3,27,35,2005-07-03
151,3,-120,36,2005-07-03
152,2,0,43,2005-07-03
153,4,97,1,2005-07-03
154,3,-119,40,2005-07-03
155,2,18,50,2005-07-03
156,3,-65,19,2005-07-03
157,2,21,38,2005-07-03
158,4,142,40,2005-07-03
159,4,143,11,2005-07-03
160,4,130,-6,2005-07-03
161,4,146,-5,2005-07-03
162,3,27,35,2005-07-03
163,3,27,35,2005-07-03
164,3,-127,40,2005-07-03
165,2,-125,40,2005-07-03
166,3,128,-7,2005-07-03
167,4,99,-1,2005-07-03
168,3,-7,36,2005-07-03
169,4,-26,-56,2005-07-03
170,4,93,11,2005-07-03
171,3,-115,32,2005-07-03
172,4,94,4,2005-07-03
173,4,129,28,2005-07-03
174,4,152,52,2005-07-03
175,3,-170,52,2005-07-03
176,2,-69,-32,2005-07-03
177,4,62,4,2005-07-03
178,4,27,36,2005-07-03
179,3,27,35,2005-07-03
180,4,99,-1,2005-07-03
181,4,138,-1,2005-07-03
182,4,-69,-20,2005-07-03
183,3,-3,34,2005-07-03
184,4,97,1,2005-07-03
185,4,143,11,2005-07-03
186,3,27,35,2005-07-03
187,4,-112,-23,2005-07-03
188,4,57,27,2005-07-03
189,4,157,53,2005-07-03
190,4,-66,-23,2005-07-03
191,3,22,38,2005-07-03
192,3,-178,51,2005-07-03
193,3,-62,10,2005-07-03
194,3,-70,-35,2005-07-03
195,3,94,5,2005-07-03
196,3,-153,58,2005-07-03
197,4,27,35,2005-07-03
198,4,142,27,2005-07-03
199,3,27,35,2005-07-03
200,2,-71,-31,2005-07-03
201,3,-113,47,2005-07-03
202,3,22,38,2005-07-03
203,3,-69,-30,2005-07-03
204,4,17,42,2005-07-03
205,3,27,35,2005-07-04
206,3,26,35,2005-07-04
207,3,75,39,2005-07-04
208,3,27,35,2005-07-04
209,4,128,-7,2005-07-04
210,4,153,-4,2005-07-04
211,3,-70,-32,2005-07-04
212,3,-113,29,2005-07-04
213,2,-71,-33,2005-07-04
214,3,-113,29,2005-07-04
215,3,24,34,2005-07-04
216,4,-44,23,2005-07-04
217,3,174,-39,2005-07-04
218,2,0,43,2005-07-04
219,4,-61,10,2005-07-04
220,3,21,41,2005-07-04
221,4,95,4,2005-07-04
222,4,93,8,2005-07-04
223,4,96,1,2005-07-04
224,4,-106,18,2005-07-04
225,3,16,51,2005-07-04
226,4,147,14,2005-07-04
227,3,-176,51,2005-07-04
228,4,-92,15,2005-07-04
229,4,-178,-17,2005-07-04
230,4,-71,-32,2005-07-04
231,3,19,40,2005-07-04
232,3,25,38,2005-07-04
233,4,151,-4,2005-07-04
234,2,-163,53,2005-07-04
235,3,26,35,2005-07-04
236,3,27,35,2005-07-04
237,4,151,-4,2005-07-04
238,4,151,-3,2005-07-04
239,3,-11,42,2005-07-04
240,3,-69,-30,2005-07-04
241,3,27,36,2005-07-04
242,3,-66,18,2005-07-04
243,4,151,-4,2005-07-04
244,4,-173,-15,2005-07-04
245,4,-178,-21,2005-07-04
246,2,-66,19,2005-07-04
247,2,-1,47,2005-07-04
248,3,23,34,2005-07-04
249,4,151,-3,2005-07-04
250,3,-105,36,2005-07-04
251,3,151,-4,2005-07-04
252,4,96,1,2005-07-04
253,4,127,-7,2005-07-04
254,4,42,-41,2005-07-04
255,6,42,-42,2005-07-04
256,3,-76,46,2005-07-04
257,3,21,36,2005-07-04
258,3,175,-40,2005-07-04
259,4,179,51,2005-07-04
260,3,173,-40,2005-07-04
261,4,166,-13,2005-07-04
262,4,67,-8,2005-07-04
263,2,-151,63,2005-07-04
264,2,23,38,2005-07-04
265,4,97,0,2005-07-04
266,2,-147,60,2005-07-04
267,4,95,2,2005-07-04
268,4,-173,-15,2005-07-04
269,4,166,-12,2005-07-04
270,2,-122,38,2005-07-04
271,5,93,10,2005-07-04
272,4,124,1,2005-07-04
273,3,-71,-33,2005-07-04
274,3,-150,63,2005-07-04
275,4,117,21,2005-07-04
276,4,96,1,2005-07-04
277,3,-71,-33,2005-07-04
278,3,-99,21,2005-07-04
